"Event_Details_ID","Event_ID","Cloud","Rain","Wind","Gust","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10"
"20210520160649-395844280.719757","20210520160631-217799842.357635",100,0,1,3,0,0,0,0,0,0,1,0,0,0
"20210520161037-757029533.38623","20210520161007-50262808.7997437",90,0,1,2,0,0,0,0,0,0,0,0,0,0
"20210520161529-509720027.446747","20210520161508-167762815.952301",100,0,1,2,0,0,0,0,0,0,0,0,0,0
"20210520161712-374432206.15387","20210520161641-878384590.148926",90,0,1,2,0,0,0,0,0,0,0,0,0,0
"20210520161923-710554242.134094","20210520161904-410631656.646729",70,0,1,3,0,0,0,0,0,0,0,0,0,0
"20210520162141-949905514.717102","20210520162123-900333881.378174",100,0,1,2,0,0,0,0,0,0,0,0,0,0
"20210521085451-871445834.636688","20210521085429-373536169.528961",100,2,0,2,0,1,0,0,0,0,0,0,0,0
"20210521085709-986093163.490295","20210521085652-824602127.075195",100,1,0,2,0,0,0,0,0,0,0,0,0,0
"20210521090056-278279960.155487","20210521090037-979829370.975494",100,0,1,2,0,0,0,0,0,0,0,0,0,0
"20210521090323-627642035.484314","20210521090304-919377088.546753",100,0,0,1,0,0,0,0,0,0,0,0,0,0
"20210521090900-390291452.407837","20210521090815-979077935.218811",100,0,1,2,0,0,0,0,0,0,0,0,0,0
"20210521092443-827411830.425262","20210521092321-657054960.727692",100,0,1,2,0,0,0,0,0,0,0,0,0,0
"20210521093054-927616536.617279","20210521092859-589792549.610138",100,0,1,2,0,0,0,0,0,0,0,0,0,0
"20210521093429-927883088.588715","20210521093344-588628590.106964",100,0,1,2,0,0,0,0,0,0,1,0,0,0
"20210521093654-826225519.180298","20210521093636-406421303.749084",100,0,1,1,0,3,1,0,0,0,0,0,0,0
"20210521094350-150311291.217804","20210521094328-302497565.746307",100,0,1,1,0,0,0,0,0,0,0,0,0,0
"20210521094602-379604697.227478","20210521094522-61522245.4071045",100,1,0,1,0,0,0,0,0,0,0,0,0,0
"20210521100003-972966670.98999","20210521095633-542029261.58905",10,0,2,3,0,0,0,0,0,0,0,0,0,0
"20210521100345-692994534.96933","20210521100318-657256424.427032",10,0,2,3,0,0,0,0,0,0,0,0,0,2
"20210521100546-123082816.6008","20210521100526-875779688.358307",20,0,2,3,0,0,0,0,0,1,0,0,0,0
"20210521100844-446993231.773376","20210521100749-770832777.023315",20,0,1,2,0,0,0,0,0,0,0,0,0,0
"20210521101201-278589427.471161","20210521101016-742342054.843903",20,0,2,3,0,0,0,0,0,0,0,0,0,0
"20210521101405-74950337.4099731","20210521101340-245173931.121826",40,0,2,3,0,0,0,0,0,0,0,0,0,0
"20210521101716-195534884.929657","20210521101530-834893286.22818",100,0,2,4,0,0,0,0,0,0,0,0,0,0
"20210521102051-729410886.764526","20210521102027-872118115.42511",60,0,2,3,0,0,0,0,0,0,0,0,0,0
"20210521102251-50045013.4277344","20210521102218-425485014.915466",30,0,2,3,0,0,0,0,0,0,0,0,0,0
"20210521102428-401036381.721497","20210521102404-309617519.378662",20,0,2,3,3,0,0,1,0,0,0,0,0,0
"20210521102611-984046041.965485","20210521102556-14221131.8016052",30,0,2,2,2,0,0,0,0,0,0,0,0,0
"20210521102803-152599811.553955","20210521102747-283559679.985046",30,0,2,3,0,0,0,2,0,0,0,0,0,1
