Detection_ID,Observation_ID,Distance,Detection
20210506142154-750687718.391418,20210506142103-443862497.806549,60,1
20210506142155-272942364.215851,20210506142103-443862497.806549,32,1
20210506142157-673646688.461304,20210506142103-443862497.806549,45,1
20210506142213-30950605.8692932,20210506142206-256628930.568695,8,4
20210506142215-322717666.625977,20210506142206-256628930.568695,7,4
20210506142232-235282242.298126,20210506142219-790128886.699677,68,1
20210507082828-524868428.707123,20210507082809-56236863.1362915,16,1
20210507082830-767111659.049988,20210507082809-56236863.1362915,37,1
20210507082832-53504526.6151428,20210507082809-56236863.1362915,25,1
20210507082834-592458248.138428,20210507082809-56236863.1362915,30,1
20210507082836-468700110.912323,20210507082809-56236863.1362915,21,1
20210507082904-647821187.973022,20210507082848-298165440.559387,22,1
20210507082922-829801619.052887,20210507082911-263792932.033539,41,1
20210507082925-824602127.075195,20210507082911-263792932.033539,48,1
20210507082926-589163005.35202,20210507082911-263792932.033539,33,1
20210507082928-986093163.490295,20210507082911-263792932.033539,40,1
20210507083128-695115506.649017,20210507083117-910964310.16922,37,1
20210507083134-980003237.724304,20210507083117-910964310.16922,58,1
20210507083136-243931353.092194,20210507083117-910964310.16922,22,1
20210507083140-533873081.207275,20210507083117-910964310.16922,23,1
20210507083141-106369674.20578,20210507083117-910964310.16922,20,1
20210507083145-999414563.179016,20210507083117-910964310.16922,19,1
20210507083305-575183808.803558,20210507083257-676175892.353058,42,1
20210507083308-100052237.510681,20210507083257-676175892.353058,52,1
20210507083310-103022634.983063,20210507083257-676175892.353058,37,1
20210507083331-45649170.8755493,20210507083323-798884391.784668,51,1
20210507083333-295772850.513458,20210507083323-798884391.784668,57,1
20210507084912-207561135.292053,20210507084829-712730467.319489,13,4
20210507084915-186013519.763947,20210507084829-712730467.319489,5,4
20210507084917-583359003.067017,20210507084829-712730467.319489,27,1
20210507084920-80714643.0015564,20210507084829-712730467.319489,7,4
20210507084922-457971453.666687,20210507084829-712730467.319489,6,1
20210507084927-905729830.265045,20210507084829-712730467.319489,31,1
20210507084930-261368274.688721,20210507084829-712730467.319489,5,4
20210507084933-785212218.761444,20210507084829-712730467.319489,11,4
20210507084935-378902554.512024,20210507084829-712730467.319489,25,1
20210507084937-289665043.354034,20210507084829-712730467.319489,19,1
20210507084940-919377088.546753,20210507084829-712730467.319489,8,4
20210507085009-428456366.062164,20210507085003-631742417.812347,23,1
20210507085020-97973823.5473633,20210507085003-631742417.812347,26,1
20210507085022-561040103.435516,20210507085003-631742417.812347,27,1
20210507085024-694485306.739807,20210507085003-631742417.812347,8,4
20210507085026-913717567.920685,20210507085003-631742417.812347,19,1
20210507085250-543360590.934753,20210507085240-834817171.096802,22,1
20210507085252-916163980.960846,20210507085240-834817171.096802,34,1
20210507085253-430261135.101318,20210507085240-834817171.096802,21,1
20210507085308-513737499.713898,20210507085302-677947700.023651,50,1
20210507085332-462980031.967163,20210507085302-677947700.023651,27,1
20210507085334-353472650.051117,20210507085302-677947700.023651,22,4
20210507085354-404834151.268005,20210507085302-677947700.023651,23,4
20210507085413-243845164.775848,20210507085404-269731581.21109,37,1
20210507085442-979077935.218811,20210507085404-269731581.21109,38,1
20210507090649-506087362.766266,20210507090146-156302213.668823,37,1
20210507090652-390471458.435059,20210507090146-156302213.668823,50,1
20210507090654-107375323.77243,20210507090146-156302213.668823,53,1
20210507090721-753688097.000122,20210507090703-783995270.729065,24,1
20210507090725-596094548.70224,20210507090703-783995270.729065,27,1
20210507090727-832730174.064636,20210507090703-783995270.729065,23,1
20210507090728-18758356.5711975,20210507090703-783995270.729065,22,1
20210507090730-210368633.270264,20210507090703-783995270.729065,43,1
20210507090734-73953330.5168152,20210507090703-783995270.729065,18,1
20210507090736-105452656.745911,20210507090703-783995270.729065,19,1
20210507090738-331694424.152374,20210507090703-783995270.729065,31,4
20210507090741-128249883.651733,20210507090703-783995270.729065,32,4
20210507090858-657054960.727692,20210507090846-241219.997406006,39,1
20210507091049-81893563.2705688,20210507091041-544013977.050781,69,1
20210507091107-191922485.8284,20210507091041-544013977.050781,41,1
20210507091112-678913354.873657,20210507091041-544013977.050781,42,1
20210507091115-454207837.581635,20210507091041-544013977.050781,39,1
20210507091117-357023119.926453,20210507091041-544013977.050781,38,1
20210507091133-928785979.747772,20210507091127-149981081.485748,59,1
20210507091150-530212521.55304,20210507091127-149981081.485748,51,1
20210507091525-401842057.704926,20210507091202-89641392.2309875,47,1
20210507091532-461874365.80658,20210507091202-89641392.2309875,52,1
20210507091607-329735934.734344,20210507091041-544013977.050781,45,1
