Detection_ID,Observation_ID,Distance,Detection
20210510090050-438826382.160187,20210510090044-860162436.962128,65,1
20210510090059-378606200.218201,20210510090055-759979009.628296,37,1
20210510090414-652376711.368561,20210510090223-581176400.184631,33,1
20210510090415-900333881.378174,20210510090223-581176400.184631,36,1
20210510090417-231596648.693085,20210510090223-581176400.184631,24,1
20210510090419-949905514.717102,20210510090223-581176400.184631,29,1
20210510090420-846187412.7388,20210510090223-581176400.184631,35,1
20210510090424-441216230.392456,20210510090223-581176400.184631,37,1
20210510090426-492006242.275238,20210510090223-581176400.184631,45,1
20210510090440-382569313.049316,20210510090434-769506812.095642,40,1
20210510090443-195534884.929657,20210510090434-769506812.095642,29,1
20210510090445-326157212.257385,20210510090434-769506812.095642,52,1
20210510090447-413233101.36795,20210510090434-769506812.095642,49,1
20210510090448-152676820.755005,20210510090434-769506812.095642,60,1
20210510090510-619831502.437592,20210510090434-769506812.095642,42,1
20210510090522-692517757.415771,20210510090516-99409937.8585815,18,1
20210510090616-991402447.223663,20210510090609-504459083.080292,50,1
20210510091018-891279399.394989,20210510090758-425849318.504333,18,1
20210510091022-821931481.361389,20210510090758-425849318.504333,20,1
20210510091030-10293424.1294861,20210510091026-176886856.555939,15,1
20210510091040-151656985.282898,20210510091026-176886856.555939,42,1
20210510091042-377407610.416412,20210510091026-176886856.555939,17,1
20210510091044-188131809.234619,20210510091026-176886856.555939,15,1
20210510091107-581502735.614777,20210510091057-979530990.123749,78,1
20210510091109-729410886.764526,20210510091057-979530990.123749,82,1
20210510091120-28246939.1822815,20210510091113-145000398.159027,27,1
20210510091121-827898979.187012,20210510091113-145000398.159027,28,1
20210510091123-783374011.516571,20210510091113-145000398.159027,52,1
20210510091125-791155457.496643,20210510091113-145000398.159027,40,1
20210510091139-555113255.977631,20210510091132-332691490.650177,66,1
20210510091140-803330302.238464,20210510091132-332691490.650177,68,1
20210510091143-563989222.049713,20210510091132-332691490.650177,70,1
20210510091145-203582286.834717,20210510091132-332691490.650177,52,1
20210510091146-207593619.823456,20210510091132-332691490.650177,43,1
20210510091149-364688038.825989,20210510091132-332691490.650177,45,1
20210510091151-573519527.91214,20210510091132-332691490.650177,46,1
20210510091152-344180822.372437,20210510091132-332691490.650177,20,1
20210510091154-528229653.835297,20210510091132-332691490.650177,21,1
20210510091156-425485014.915466,20210510091132-332691490.650177,33,1
20210510092928-258442044.258118,20210510092803-409323275.089264,37,1
20210510092930-174484074.115753,20210510092803-409323275.089264,42,1
20210510092944-339090704.917908,20210510092938-694607496.261597,61,1
20210510092947-692547857.761383,20210510092938-694607496.261597,47,1
20210510092949-110386848.449707,20210510092938-694607496.261597,62,1
20210510092950-109738528.728485,20210510092938-694607496.261597,65,1
20210510092952-290577530.860901,20210510092938-694607496.261597,70,1
20210510092955-398878395.557404,20210510092938-694607496.261597,71,1
20210510093005-295580744.743347,20210510092959-559022188.186646,43,1
20210510093008-807941019.535065,20210510092959-559022188.186646,52,1
20210510093334-406381666.660309,20210510093251-409597158.432007,39,1
20210510093343-516088128.089905,20210510093339-950330734.25293,22,1
20210510093352-223323166.370392,20210510093339-950330734.25293,24,4
20210510093359-582758188.247681,20210510093339-950330734.25293,23,4
20210510093402-748532712.459564,20210510093339-950330734.25293,16,4
20210510093431-283014774.32251,20210510093420-456470370.292664,23,1
20210510093434-667538344.860077,20210510093420-456470370.292664,20,1
20210510093436-890127301.216125,20210510093420-456470370.292664,26,1
20210513134826-45352756.9770813,20210513134425-760723590.85083,6,1
20210513134831-414032697.677612,20210513134425-760723590.85083,16,1
20210513134942-373536169.528961,20210513134837-862619340.419769,11,1
20210513134946-961953163.146973,20210513134837-862619340.419769,26,2
20210513135026-871445834.636688,20210513134837-862619340.419769,40,1
20210513135445-53504526.6151428,20210513135031-56236863.1362915,16,1
20210513135449-592458248.138428,20210513135031-56236863.1362915,13,1
20210513135451-468700110.912323,20210513135031-56236863.1362915,28,1
20210513135452-298165440.559387,20210513135031-56236863.1362915,39,1
20210513135453-622696697.711945,20210513135031-56236863.1362915,12,1
20210513135456-647821187.973022,20210513135031-56236863.1362915,2,4
20210513135458-263792932.033539,20210513135031-56236863.1362915,2,2
20210513135506-279342055.32074,20210513135031-56236863.1362915,3,2
20210513135521-589163005.35202,20210513135511-829801619.052887,11,2
20210513135522-986093163.490295,20210513135511-829801619.052887,14,1
20210513135525-910964310.16922,20210513135511-829801619.052887,16,1
20210513135527-226866006.851196,20210513135511-829801619.052887,23,1
20210514083244-414032697.677612,20210514083000-814490020.275116,12,4
20210514083248-862619340.419769,20210514083000-814490020.275116,31,1
20210514083249-790480017.662048,20210514083000-814490020.275116,15,1
20210514083250-373536169.528961,20210514083000-814490020.275116,23,1
20210514083253-961953163.146973,20210514083000-814490020.275116,16,4
20210514083301-949556648.731232,20210514083257-871445834.636688,32,1
20210514083302-364018678.665161,20210514083257-871445834.636688,26,1
20210514083303-524868428.707123,20210514083257-871445834.636688,12,1
20210514083304-767111659.049988,20210514083257-871445834.636688,6,1
20210514083318-468700110.912323,20210514083307-53504526.6151428,12,4
20210514083320-298165440.559387,20210514083307-53504526.6151428,14,4
20210514083321-622696697.711945,20210514083307-53504526.6151428,21,1
20210514083322-647821187.973022,20210514083307-53504526.6151428,2,2
20210514083324-263792932.033539,20210514083307-53504526.6151428,41,1
20210514083614-824602127.075195,20210514083609-279342055.32074,18,1
20210514083630-910964310.16922,20210514083617-589163005.35202,38,1
20210514083633-226866006.851196,20210514083617-589163005.35202,39,1
20210514083816-284480273.723602,20210514083734-100052237.510681,13,1
20210514083818-45649170.8755493,20210514083734-100052237.510681,23,1
20210514083820-295772850.513458,20210514083734-100052237.510681,15,1
20210514083822-382010698.318481,20210514083734-100052237.510681,16,1
20210514083823-300970494.747162,20210514083734-100052237.510681,19,1
20210514083834-401374340.057373,20210514083826-948571085.929871,43,1
20210514083837-278279960.155487,20210514083826-948571085.929871,26,1
20210514083844-646587133.407593,20210514083839-160441517.829895,16,1
20210514083846-410073220.729828,20210514083839-160441517.829895,13,1
20210514083849-412766814.231873,20210514083839-160441517.829895,103,1
20210514083851-712730467.319489,20210514083839-160441517.829895,10,1
20210514084007-207561135.292053,20210514083853-326206207.275391,30,1
20210514084010-186013519.763947,20210514083853-326206207.275391,36,1
20210514084019-457971453.666687,20210514084013-583359003.067017,88,1
20210514084857-14017641.544342,20210514084653-579518616.199493,36,1
20210514084858-760723590.85083,20210514084653-579518616.199493,28,1
20210514084902-814490020.275116,20210514084653-579518616.199493,18,1
20210514084903-709037899.971008,20210514084653-579518616.199493,29,1
20210514084905-45352756.9770813,20210514084653-579518616.199493,38,1
20210514084914-790480017.662048,20210514084907-414032697.677612,13,1
20210514084929-871445834.636688,20210514084916-373536169.528961,65,1
20210514084937-364018678.665161,20210514084931-56236863.1362915,63,1
20210514084939-524868428.707123,20210514084931-56236863.1362915,18,1
20210514085027-767111659.049988,20210514084931-56236863.1362915,18,1
20210514085030-53504526.6151428,20210514084931-56236863.1362915,28,1
20210514085105-592458248.138428,20210514084931-56236863.1362915,16,1
20210514085116-622696697.711945,20210514085110-468700110.912323,43,1
20210514085424-106369674.20578,20210514085329-226866006.851196,29,1
20210514085426-999414563.179016,20210514085329-226866006.851196,38,1
20210514085428-676175892.353058,20210514085329-226866006.851196,52,1
20210514085429-15703916.5496826,20210514085329-226866006.851196,29,1
20210514085431-575183808.803558,20210514085329-226866006.851196,26,1
20210514085433-100052237.510681,20210514085329-226866006.851196,43,1
20210514085434-103022634.983063,20210514085329-226866006.851196,19,1
20210514085443-45649170.8755493,20210514085436-798884391.784668,42,1
20210514085444-295772850.513458,20210514085436-798884391.784668,19,1
20210514085452-948571085.929871,20210514085447-382010698.318481,68,1
20210514085453-979829370.975494,20210514085447-382010698.318481,53,1
20210514085455-401374340.057373,20210514085447-382010698.318481,201,1
20210514085458-278279960.155487,20210514085447-382010698.318481,26,1
20210514085518-646587133.407593,20210514085500-160441517.829895,38,1
20210514085523-410073220.729828,20210514085500-160441517.829895,42,1
20210514085710-905729830.265045,20210514085602-583359003.067017,41,1
20210514085713-261368274.688721,20210514085602-583359003.067017,26,1
20210514085715-785212218.761444,20210514085602-583359003.067017,12,1
20210514085716-378902554.512024,20210514085602-583359003.067017,18,1
20210514085728-631742417.812347,20210514085720-289665043.354034,38,1
20210514085737-97973823.5473633,20210514085730-627642035.484314,4,1
20210514085738-561040103.435516,20210514085730-627642035.484314,13,1
20210514085748-834817171.096802,20210514085740-694485306.739807,68,1
20210514085800-916163980.960846,20210514085750-22629201.4122009,61,1
20210514085802-430261135.101318,20210514085750-22629201.4122009,38,1
20210514085805-677947700.023651,20210514085750-22629201.4122009,12,1
20210514085817-462980031.967163,20210514085807-502453923.225403,13,1
20210514090308-474459171.295166,20210514085957-364995419.979095,31,2
20210514090310-257267653.942108,20210514085957-364995419.979095,4,4
20210514090312-628751873.970032,20210514085957-364995419.979095,13,1
20210514090319-542070209.980011,20210514085957-364995419.979095,63,1
20210514090320-156302213.668823,20210514085957-364995419.979095,62,1
20210514090332-506087362.766266,20210514090324-938545167.446136,19,1
20210514090334-390471458.435059,20210514090324-938545167.446136,22,1
20210514090335-107375323.77243,20210514090324-938545167.446136,11,2
20210514090338-783995270.729065,20210514090324-938545167.446136,14,1
20210514090340-459640800.952911,20210514090324-938545167.446136,23,1
20210514090341-753688097.000122,20210514090324-938545167.446136,3,1
20210514090351-18758356.5711975,20210514090344-596094548.70224,36,1
20210514090400-105452656.745911,20210514090353-210368633.270264,73,1
20210514090553-357023119.926453,20210514090457-191922485.8284,63,1
20210514090555-149981081.485748,20210514090457-191922485.8284,63,1
20210514090557-704395771.026611,20210514090457-191922485.8284,51,1
20210514090600-928785979.747772,20210514090457-191922485.8284,28,1
20210514090602-530212521.55304,20210514090457-191922485.8284,19,1
20210514090613-401842057.704926,20210514090606-89641392.2309875,108,1
20210514090615-461874365.80658,20210514090606-89641392.2309875,39,1
20210514090627-329735934.734344,20210514090617-492165625.095367,13,1
20210514090630-95429062.8433228,20210514090617-492165625.095367,16,1
20210514090631-589792549.610138,20210514090617-492165625.095367,18,1
20210514090633-169873476.028442,20210514090617-492165625.095367,37,1
20210514090635-927616536.617279,20210514090617-492165625.095367,4,2
20210514090636-97929835.319519,20210514090617-492165625.095367,3,2
20210514090637-443862497.806549,20210514090617-492165625.095367,1,2
20210514090639-272946834.564209,20210514090617-492165625.095367,39,2
20210514090814-480474710.464478,20210514090729-790128886.699677,23,1
20210514090817-254601895.809174,20210514090729-790128886.699677,46,1
20210514090818-340606570.243835,20210514090729-790128886.699677,38,1
20210514090826-206017196.178436,20210514090820-44933855.5335999,39,1
20210514090828-864534497.261047,20210514090820-44933855.5335999,40,1
20210514090843-927883088.588715,20210514090830-588628590.106964,39,1
20210514091012-479978263.378143,20210514090940-620209574.699402,30,1
20210514091013-219409108.161926,20210514090940-620209574.699402,26,1
20210514091021-28885781.7649841,20210514091016-993731319.904327,26,1
20210514091023-345391631.126404,20210514091016-993731319.904327,38,1
20210514091033-538246333.599091,20210514091025-547668516.635895,16,1
20210514091335-422918260.097504,20210514091137-412967801.094055,18,1
20210514091338-543177008.628845,20210514091137-412967801.094055,23,1
20210514091339-814663946.628571,20210514091137-412967801.094055,16,1
20210514091340-540913581.848145,20210514091137-412967801.094055,4,2
20210514091404-427533328.533173,20210514091137-412967801.094055,300,1
20210514091413-619187593.460083,20210514091407-509068131.446838,39,1
20210514091418-489830434.322357,20210514091407-509068131.446838,46,1
20210514091419-680819392.204285,20210514091407-509068131.446838,35,1
20210514091430-302497565.746307,20210514091424-886600077.152252,98,1
20210514091703-161743700.504303,20210514091626-747415781.021118,80,1
20210514091710-956762433.052063,20210514091705-807779788.970947,16,1
20210514091712-65851032.7339172,20210514091705-807779788.970947,13,1
20210514091714-61522245.4071045,20210514091705-807779788.970947,21,1
20210514091724-463584005.832672,20210514091717-793197572.231293,39,1
20210514091726-119544029.23584,20210514091717-793197572.231293,68,1
20210514091902-903098821.640015,20210514091815-746354758.739471,15,1
20210514091910-634571135.044098,20210514091904-746006906.032562,26,1
20210514091911-713027954.101563,20210514091904-746006906.032562,12,1
20210514091912-15682399.2729187,20210514091904-746006906.032562,15,1
20210514091914-431144356.7276,20210514091904-746006906.032562,36,1
20210514091916-401982605.457306,20210514091904-746006906.032562,19,2
20210514091925-802587389.945984,20210514091918-275295495.986938,18,1
20210514091933-734488189.220428,20210514091928-696100771.427155,38,1
20210514091943-433457136.154175,20210514091937-277168393.135071,75,1
20210514092950-218000352.38266,20210514092902-372814297.676086,38,1
20210514092951-446993231.773376,20210514092902-372814297.676086,23,1
20210514092952-236027777.194977,20210514092902-372814297.676086,71,1
20210514093000-374432206.15387,20210514092955-878384590.148926,29,1
20210514093002-389501869.678497,20210514092955-878384590.148926,51,1
20210514093003-860589265.823364,20210514092955-878384590.148926,80,1
20210514093004-585937917.232513,20210514092955-878384590.148926,48,1
20210514093019-330300807.952881,20210514093007-931559443.473816,30,1
20210514093026-259541332.72171,20210514093022-868453681.468964,44,1
20210514093438-410631656.646729,20210514093343-741780698.299408,81,1
20210514093441-339375197.887421,20210514093343-741780698.299408,95,1
20210514093442-710554242.134094,20210514093343-741780698.299408,48,1
20210514093443-312288105.487823,20210514093343-741780698.299408,107,1
20210514093455-592991232.872009,20210514093446-798773527.145386,34,1
20210514093456-956236898.899078,20210514093446-798773527.145386,75,1
20210514093504-114332795.143127,20210514093459-243147850.036621,90,1
20210514093508-984253227.710724,20210514093459-243147850.036621,73,1
20210514093510-632975816.726685,20210514093459-243147850.036621,81,1
20210514093520-574864923.95401,20210514093513-598856389.522552,68,1
20210514093522-245173931.121826,20210514093513-598856389.522552,87,1
20210514093740-895446240.901947,20210514093658-581176400.184631,54,1
20210514093743-111432909.965515,20210514093658-581176400.184631,33,4
20210514093744-652376711.368561,20210514093658-581176400.184631,58,4
20210514093746-900333881.378174,20210514093658-581176400.184631,14,2
20210514093747-231596648.693085,20210514093658-581176400.184631,14,2
20210514093757-441216230.392456,20210514093751-949905514.717102,58,1
20210514093758-492006242.275238,20210514093751-949905514.717102,71,1
20210514093800-769506812.095642,20210514093751-949905514.717102,103,1
20210514093801-834893286.22818,20210514093751-949905514.717102,69,1
20210514093809-326157212.257385,20210514093803-382569313.049316,60,1
20210514093810-413233101.36795,20210514093803-382569313.049316,74,1
20210514093811-152676820.755005,20210514093803-382569313.049316,88,1
20210514093813-619831502.437592,20210514093803-382569313.049316,42,1
20210514093819-692517757.415771,20210514093815-99409937.8585815,51,1
20210514093820-504459083.080292,20210514093815-99409937.8585815,42,1
20210514100221-10293424.1294861,20210514100042-821931481.361389,47,1
20210514100222-151656985.282898,20210514100042-821931481.361389,74,1
20210514100223-377407610.416412,20210514100042-821931481.361389,73,1
20210514100225-188131809.234619,20210514100042-821931481.361389,70,1
20210514100226-979530990.123749,20210514100042-821931481.361389,89,1
20210514100239-729410886.764526,20210514100228-872118115.42511,74,1
20210514100240-145000398.159027,20210514100228-872118115.42511,82,1
20210514100248-827898979.187012,20210514100243-257789969.444275,30,4
20210514100249-783374011.516571,20210514100243-257789969.444275,30,4
20210514100251-791155457.496643,20210514100243-257789969.444275,68,4
20210514100252-332691490.650177,20210514100243-257789969.444275,68,4
20210514100254-450942277.908325,20210514100243-257789969.444275,69,4
20210514100303-563989222.049713,20210514100257-555113255.977631,7,2
20210514100304-203582286.834717,20210514100257-555113255.977631,33,1
20210514100321-573519527.91214,20210514100243-257789969.444275,72,1
20210514100458-805275440.216064,20210514100402-933052301.40686,20,4
20210514100501-989428222.179413,20210514100402-933052301.40686,21,4
20210514100502-258442044.258118,20210514100402-933052301.40686,26,4
20210514100510-16988694.6678162,20210514100504-174484074.115753,84,1
20210514100512-339090704.917908,20210514100504-174484074.115753,71,1
20210514100513-692547857.761383,20210514100504-174484074.115753,95,1
20210514100514-110386848.449707,20210514100504-174484074.115753,130,1
20210514100523-398878395.557404,20210514100517-109738528.728485,72,1
20210514100524-559022188.186646,20210514100517-109738528.728485,88,1
20210514100525-310951650.14267,20210514100517-109738528.728485,49,1
20210514100527-295580744.743347,20210514100517-109738528.728485,52,1
20210514100534-375816047.19162,20210514100529-807941019.535065,24,1
20210514100537-401036381.721497,20210514100529-807941019.535065,27,4
20210514100538-841427624.225616,20210514100529-807941019.535065,12,2
20210514100539-409597158.432007,20210514100529-807941019.535065,110,1
20210514100541-724558770.656586,20210514100529-807941019.535065,29,4
20210514100542-658763289.451599,20210514100529-807941019.535065,29,2
20210514100738-281381428.24173,20210514100650-283014774.32251,72,1
20210514100739-368056058.883667,20210514100650-283014774.32251,64,1
20210514100740-14221131.8016052,20210514100650-283014774.32251,47,1
20210514100741-294659018.516541,20210514100650-283014774.32251,32,1
20210514100750-580878436.565399,20210514100743-984046041.965485,65,1
20210514100752-605673432.350159,20210514100743-984046041.965485,44,1
20210514100800-793596684.932709,20210514100753-268043816.08963,33,1
20210514100801-857411265.37323,20210514100753-268043816.08963,23,1
20210514100816-415376365.184784,20210514100805-93152582.6454163,69,1
20210514100824-698890447.616577,20210514100819-73371052.7420044,23,4
20210514100825-499257028.102875,20210514100819-73371052.7420044,25,2
20210514100829-406934142.112732,20210514100819-73371052.7420044,8,2
20210514100830-945072233.67691,20210514100819-73371052.7420044,44,1
20210514100831-984649658.203125,20210514100819-73371052.7420044,13,2
20210514100833-591442286.968231,20210514100819-73371052.7420044,40,1
20210514100955-42947709.5603943,20210514100912-548423886.299133,11,1
20210514100956-405744910.240173,20210514100912-548423886.299133,17,1
20210514100958-58991491.7945862,20210514100912-548423886.299133,74,2
20210514100959-311837196.350098,20210514100912-548423886.299133,86,2
20210514101007-596437752.246857,20210514101002-603043735.027313,19,4
20210514101008-329625368.118286,20210514101002-603043735.027313,13,2
20210514101009-909298360.347748,20210514101002-603043735.027313,48,1
20210514101011-770071864.128113,20210514101002-603043735.027313,17,2
20210514101028-732524573.802948,20210514101022-575873911.380768,32,1
20210514101029-162942051.887512,20210514101022-575873911.380768,140,1
20210514101037-758574426.174164,20210514101032-59616863.7275696,77,1
20210514101205-653397262.096405,20210514101128-602104067.802429,15,1
20210514101206-14581799.5071411,20210514101128-602104067.802429,26,2
20210514101208-661924183.368683,20210514101128-602104067.802429,20,4
20210514101215-953598380.088806,20210514101211-964709043.502808,28,1
20210514101218-73634207.2486877,20210514101211-964709043.502808,30,2
20210514101220-293299674.987793,20210514101211-964709043.502808,30,2
20210514101222-582484424.114227,20210514101211-964709043.502808,19,4
20210514101230-54648637.7716064,20210514101226-807886719.703674,39,1
20210514101238-412355005.741119,20210514101233-564306676.387787,34,1
20210514101239-510047435.760498,20210514101233-564306676.387787,36,1
20210514101240-733510673.046112,20210514101233-564306676.387787,30,1
20210514101413-721003949.642181,20210514101329-807689309.120178,8,4
20210514101415-693353533.744812,20210514101329-807689309.120178,14,1
20210514101416-730833590.03067,20210514101329-807689309.120178,15,2
20210514101418-192306995.391846,20210514101329-807689309.120178,42,1
20210514101425-248069584.369659,20210514101420-773646056.652069,45,1
20210514101427-950413465.499878,20210514101420-773646056.652069,26,1
20210514101428-819883286.952972,20210514101420-773646056.652069,34,1
20210514101436-236920356.750488,20210514101430-219469428.062439,17,1
20210514101438-925450503.826141,20210514101430-219469428.062439,15,2
20210514101445-714486360.549927,20210514101440-257504105.567932,40,1
20210514101452-758845865.726471,20210514101448-664871633.052826,92,1
20210514101630-139437973.499298,20210514101553-204305648.803711,34,4
20210514101632-60976266.8609619,20210514101553-204305648.803711,17,1
20210514101633-634190976.61972,20210514101553-204305648.803711,24,1
20210514101635-838558077.812195,20210514101553-204305648.803711,45,1
20210514101636-640923082.828522,20210514101553-204305648.803711,64,1
20210514101647-495481610.298157,20210514101638-424929141.998291,17,1
20210514101649-973131000.995636,20210514101638-424929141.998291,28,1
20210514101653-769369840.621948,20210514101553-204305648.803711,38,1
20210514101703-547011435.031891,20210514101656-380592286.586761,82,1
20210514101710-647795319.55719,20210514101705-673949241.638184,63,1
20210514102013-173543334.007263,20210514101935-436583340.167999,38,1
20210514102029-978931605.815887,20210514102019-278057157.993317,29,1
20210514102033-283584237.098694,20210514102019-278057157.993317,22,1
20210514102034-618100464.344025,20210514102019-278057157.993317,37,1
20210514102047-318967700.004578,20210514102040-306629419.326782,22,1
20210514102056-300032317.638397,20210514102052-795397341.251373,43,1
20210514102105-452828168.869019,20210514102059-72723507.8811646,74,1
20210514102657-755260467.529297,20210514102616-43198525.9056091,19,1
20210514102658-822578608.989716,20210514102616-43198525.9056091,28,1
20210514102700-209674477.577209,20210514102616-43198525.9056091,43,1
20210514102701-468735992.908478,20210514102616-43198525.9056091,45,1
20210514102702-868004083.633423,20210514102616-43198525.9056091,27,1
20210514102710-462500154.972076,20210514102704-828341901.302338,24,1
20210514102711-348869800.567627,20210514102704-828341901.302338,32,1
20210514102718-544311344.623566,20210514102713-249270141.124725,30,4
20210514102719-538250684.738159,20210514102713-249270141.124725,40,4
20210514102720-626684129.238129,20210514102713-249270141.124725,28,4
20210514102722-88129401.2069702,20210514102713-249270141.124725,26,2
20210514102723-711056768.894196,20210514102713-249270141.124725,17,1
20210514102731-275211930.274963,20210514102725-257985115.05127,13,1
20210514102733-960600197.315216,20210514102725-257985115.05127,15,1
20210514102735-326981782.913208,20210514102725-257985115.05127,8,4
20210514102736-647697865.962982,20210514102725-257985115.05127,8,4
20210514102915-44667840.0039673,20210514102826-589929640.293121,29,1
20210514102917-153209030.628204,20210514102826-589929640.293121,34,1
20210514102919-246225595.474243,20210514102826-589929640.293121,27,1
20210514102920-398755490.779877,20210514102826-589929640.293121,62,1
20210514102921-583927035.331726,20210514102826-589929640.293121,70,1
20210514102928-898083388.805389,20210514102923-287628710.269928,28,1
20210514102931-526617169.380188,20210514102923-287628710.269928,33,1
20210514102944-387536823.749542,20210514102826-589929640.293121,15,1
20210514102954-2714872.36022949,20210514102826-589929640.293121,29,1
20210514102958-250869691.371918,20210514102826-589929640.293121,41,1
20210514102959-162838339.805603,20210514102826-589929640.293121,44,1
20210514103001-645133078.098297,20210514102826-589929640.293121,49,1
20210514103016-240698456.764221,20210514103010-981146812.438965,35,1
20210514103017-878593742.847443,20210514103010-981146812.438965,27,4
20210514103020-129641771.316528,20210514103010-981146812.438965,45,4
20210514103021-569796025.753021,20210514103010-981146812.438965,18,1
20210514103029-693866252.89917,20210514103023-606938242.912292,18,4
20210514103030-850022971.630096,20210514103023-606938242.912292,62,1
20210514103032-97556233.4060669,20210514103023-606938242.912292,62,1
20210514103046-268132150.173187,20210514103035-394446194.171906,25,1
20210520090943-709037899.971008,20210520090901-14017641.544342,49,1
20210520090945-45352756.9770813,20210520090901-14017641.544342,20,1
20210520090956-790480017.662048,20210520090949-414032697.677612,42,1
20210520090958-373536169.528961,20210520090949-414032697.677612,29,1
20210520091000-961953163.146973,20210520090949-414032697.677612,45,1
20210520091020-949556648.731232,20210520091003-871445834.636688,37,4
20210520091022-364018678.665161,20210520091003-871445834.636688,18,1
20210520091027-524868428.707123,20210520091003-871445834.636688,41,1
20210520091040-592458248.138428,20210520091035-767111659.049988,29,1
20210520091042-468700110.912323,20210520091035-767111659.049988,30,1
20210520091044-298165440.559387,20210520091035-767111659.049988,66,1
20210520091046-622696697.711945,20210520091035-767111659.049988,65,1
20210520091047-647821187.973022,20210520091035-767111659.049988,35,1
20210520091053-263792932.033539,20210520091035-767111659.049988,41,1
20210520091055-279342055.32074,20210520091035-767111659.049988,50,1
20210520091306-980003237.724304,20210520091200-910964310.16922,37,1
20210520091315-106369674.20578,20210520091310-243931353.092194,51,1
20210520091317-999414563.179016,20210520091310-243931353.092194,55,1
20210520091325-575183808.803558,20210520091321-676175892.353058,40,1
20210520091336-798884391.784668,20210520091328-100052237.510681,19,1
20210520091338-284480273.723602,20210520091328-100052237.510681,51,2
20210520091340-45649170.8755493,20210520091328-100052237.510681,23,1
20210520091341-295772850.513458,20210520091328-100052237.510681,21,1
20210520091354-948571085.929871,20210520091349-382010698.318481,49,1
20210520091355-979829370.975494,20210520091349-382010698.318481,46,1
20210520091403-160441517.829895,20210520091358-401374340.057373,22,1
20210520091405-162821590.900421,20210520091358-401374340.057373,26,1
20210520091727-583359003.067017,20210520091506-633178889.751434,39,1
20210520091729-80714643.0015564,20210520091506-633178889.751434,34,1
20210520091730-457971453.666687,20210520091506-633178889.751434,22,1
20210520091732-905729830.265045,20210520091506-633178889.751434,18,1
20210520091734-261368274.688721,20210520091506-633178889.751434,15,1
20210520091739-785212218.761444,20210520091506-633178889.751434,12,1
20210520091828-919377088.546753,20210520091822-378902554.512024,75,1
20210520091830-631742417.812347,20210520091822-378902554.512024,77,1
20210520091831-627642035.484314,20210520091822-378902554.512024,45,1
20210520092033-561040103.435516,20210520091835-428456366.062164,50,1
20210520092037-694485306.739807,20210520091835-428456366.062164,39,1
20210520092039-913717567.920685,20210520091835-428456366.062164,52,1
20210520092041-834817171.096802,20210520091835-428456366.062164,20,1
20210520092054-916163980.960846,20210520092047-22629201.4122009,71,1
20210520094003-364018678.665161,20210520093926-871445834.636688,42,1
20210520094005-524868428.707123,20210520093926-871445834.636688,39,1
20210520094006-767111659.049988,20210520093926-871445834.636688,56,1
20210520094009-53504526.6151428,20210520093926-871445834.636688,70,1
20210520094010-592458248.138428,20210520093926-871445834.636688,61,1
20210520094020-468700110.912323,20210520093926-871445834.636688,52,1
20210520094027-647821187.973022,20210520094022-298165440.559387,45,1
20210520094029-263792932.033539,20210520094022-298165440.559387,20,1
20210520094030-279342055.32074,20210520094022-298165440.559387,6,1
20210520094038-589163005.35202,20210520094033-829801619.052887,51,1
20210520094047-226866006.851196,20210520094042-986093163.490295,69,1
20210520094105-695115506.649017,20210520094042-986093163.490295,,9
20210520094544-575183808.803558,20210520094454-999414563.179016,22,1
20210520094547-100052237.510681,20210520094454-999414563.179016,44,1
20210520094548-103022634.983063,20210520094454-999414563.179016,50,1
20210520094549-798884391.784668,20210520094454-999414563.179016,65,1
20210520094550-284480273.723602,20210520094454-999414563.179016,19,1
20210520094600-382010698.318481,20210520094555-45649170.8755493,62,1
20210520094601-300970494.747162,20210520094555-45649170.8755493,56,1
20210520094602-948571085.929871,20210520094555-45649170.8755493,69,1
20210520094604-979829370.975494,20210520094555-45649170.8755493,38,1
20210520094605-401374340.057373,20210520094555-45649170.8755493,40,1
20210520094614-162821590.900421,20210520094609-278279960.155487,19,1
20210520094615-646587133.407593,20210520094609-278279960.155487,22,1
20210520094621-712730467.319489,20210520094617-410073220.729828,70,1
20210520094957-905729830.265045,20210520094823-583359003.067017,51,1
20210520094958-261368274.688721,20210520094823-583359003.067017,46,1
20210520094959-785212218.761444,20210520094823-583359003.067017,38,1
20210520095008-919377088.546753,20210520095002-378902554.512024,60,1
20210520095009-631742417.812347,20210520095002-378902554.512024,45,1
20210520095010-627642035.484314,20210520095002-378902554.512024,39,1
20210520095011-428456366.062164,20210520095002-378902554.512024,48,1
20210520095012-97973823.5473633,20210520095002-378902554.512024,52,1
20210520095016-561040103.435516,20210520095002-378902554.512024,40,1
20210520095024-834817171.096802,20210520095018-694485306.739807,48,1
20210520095032-916163980.960846,20210520095027-22629201.4122009,36,1
20210520095034-430261135.101318,20210520095027-22629201.4122009,18,1
20210520095543-55593490.6005859,20210520095141-353472650.051117,60,1
20210520095544-243845164.775848,20210520095141-353472650.051117,41,1
20210520095545-979077935.218811,20210520095141-353472650.051117,53,1
20210520095546-60916244.9836731,20210520095141-353472650.051117,16,1
20210520095547-390291452.407837,20210520095141-353472650.051117,29,1
20210520095554-155663073.062897,20210520095549-364995419.979095,56,1
20210520095556-474459171.295166,20210520095549-364995419.979095,49,1
20210520095603-542070209.980011,20210520095559-257267653.942108,30,1
20210520095606-156302213.668823,20210520095559-257267653.942108,16,1
