,Observation_ID,Event_ID,Species_ID
90,20210510081402-390471458.435059,20210510081402-506087362.766266,20200813140240-887522280.216217
91,20210510081609-105452656.745911,20210510081402-506087362.766266,20200813140240-837038218.975067
92,20210510081635-536794066.429138,20210510081402-506087362.766266,20200813140240-61015367.5079346
93,20210510081650-827411830.425262,20210510081402-506087362.766266,20200813140240-871533870.697021
94,20210510081703-678913354.873657,20210510081402-506087362.766266,20200813140240-34356594.0856934
95,20210510081734-704395771.026611,20210510081402-506087362.766266,20200813140240-941978275.775909
96,20210510081913-329735934.734344,20210510081913-207627296.447754,20200813140240-837038218.975067
97,20210510082055-443862497.806549,20210510081913-207627296.447754,20200813140240-941978275.775909
98,20210510082118-256628930.568695,20210510081913-207627296.447754,20200813140240-34356594.0856934
99,20210510082133-322717666.625977,20210510081913-207627296.447754,20200813140240-887522280.216217
100,20210510082402-482428073.883057,20210510082402-44933855.5335999,20200813140240-34356594.0856934
101,20210510082620-542941153.049469,20210510082402-44933855.5335999,20200813140240-887522280.216217
102,20210510082653-347726404.666901,20210510082402-44933855.5335999,20200813140240-941978275.775909
103,20210510082903-406421303.749084,20210510082903-538246333.599091,20200813140240-887522280.216217
104,20210510083100-179089307.785034,20210510082903-538246333.599091,20200813140240-941978275.775909
105,20210510083128-227781593.799591,20210510082903-538246333.599091,20200813140240-837038218.975067
106,20210510083148-370515346.5271,20210510082903-538246333.599091,20200813140240-34356594.0856934
107,20210510083159-150311291.217804,20210510082903-538246333.599091,20200813140240-941978275.775909
108,20210510083407-684062302.112579,20210510083407-190633416.175842,20200813140240-887522280.216217
109,20210510084011-65851032.7339172,20210510083407-190633416.175842,20200813140240-34356594.0856934
110,20210510084107-119544029.23584,20210510083407-190633416.175842,20200813140240-871533870.697021
111,20210510084124-714816331.863403,20210510083407-190633416.175842,20200813140240-941978275.775909
112,20210510084216-746006906.032562,20210510083407-190633416.175842,20200813140240-641774833.202362
113,20210510084230-713027954.101563,20210510083407-190633416.175842,20200813140240-837038218.975067
114,20210510084246-275295495.986938,20210510083407-190633416.175842,20200813140240-61015367.5079346
115,20210510084558-356586277.484894,20210510084558-277168393.135071,20200813140240-887522280.216217
116,20210510084838-217799842.357635,20210510084558-277168393.135071,20200813140240-941978275.775909
117,20210510084908-909204125.404358,20210510084558-277168393.135071,20200813140240-871533870.697021
118,20210510084939-756092607.975006,20210510084558-277168393.135071,20200813140240-61015367.5079346
119,20210510085230-757029533.38623,20210510085229-518015921.115875,20200813140240-61015367.5079346
120,20210510085321-674826085.567474,20210510085229-518015921.115875,20200813140240-887522280.216217
121,20210510085400-401604592.80014,20210510085229-518015921.115875,20200813140240-941978275.775909
122,20210510085503-610432803.630829,20210510085229-518015921.115875,20200813140240-34356594.0856934
123,20210510085732-330300807.952881,20210510085732-517192423.343658,20200813140240-887522280.216217
124,20210510085917-404864609.241486,20210510085732-517192423.343658,20200813140240-837038218.975067
125,20210510085934-410631656.646729,20210510085732-517192423.343658,20200813140240-941978275.775909
126,20210510085959-939971148.967743,20210510085732-517192423.343658,20200813140240-871533870.697021
127,20210510090023-598856389.522552,20210510085732-517192423.343658,20200813140240-641774833.202362
128,20210510090044-860162436.962128,20210510085732-517192423.343658,20200813140240-749775350.093842
129,20210510090055-759979009.628296,20210510085732-517192423.343658,20200813140240-34356594.0856934
130,20210510090223-581176400.184631,20210510090223-270359218.120575,20200813140240-941978275.775909
131,20210510090434-769506812.095642,20210510090223-270359218.120575,20200813140240-887522280.216217
132,20210510090516-99409937.8585815,20210510090223-270359218.120575,20200813140240-837038218.975067
133,20210510090609-504459083.080292,20210510090223-270359218.120575,20200813140240-34356594.0856934
