,Habitat_ID,Event_ID
42,20210514090849-542941153.049469,20210514090728-322717666.625977
43,20210514091039-847245514.392853,20210514090940-923445165.157318
44,20210514091439-150311291.217804,20210514091137-495211303.2341
45,20210514091732-173773407.936096,20210514091625-684062302.112579
46,20210514091948-121549963.951111,20210514091815-468005657.196045
47,20210514093043-346957147.121429,20210514092902-896616637.706757
48,20210514093528-74950337.4099731,20210514093343-811571359.634399
49,20210514093843-991402447.223663,20210514093658-270359218.120575
50,20210514100327-528229653.835297,20210514100042-891279399.394989
51,20210514100551-950330734.25293,20210514100402-962678253.650665
52,20210514100838-615071594.715118,20210514100650-904373705.387115
53,20210514101045-345335066.318512,20210514100911-420111358.165741
54,20210514101246-322398006.916046,20210514101127-206498563.289642
55,20210514101457-824584662.914276,20210514101329-651886165.142059
56,20210514101717-340388536.453247,20210514101552-355577528.476715
57,20210514102118-30264258.3847046,20210514101935-747573018.074036
58,20210514102743-369906961.917877,20210514102616-886066198.348999
59,20210514103053-396198332.309723,20210514102826-686122298.240662
60,20210520091125-824602127.075195,20210520090901-774740099.906921
61,20210520091418-410073220.729828,20210520091159-986093163.490295
62,20210520092122-677947700.023651,20210520091506-326206207.275391
63,20210520094121-243931353.092194,20210520093925-961953163.146973
64,20210520094657-633178889.751434,20210520094454-106369674.20578
65,20210520095103-502453923.225403,20210520094823-186013519.763947
66,20210520095613-506087362.766266,20210520095141-462980031.967163
67,20210520100226-149981081.485748,20210520095649-107375323.77243
68,20210520100533-256628930.568695,20210520100326-928785979.747772
69,20210520100801-219409108.161926,20210520100602-30950605.8692932
70,20210520101007-227781593.799591,20210520100820-130420446.395874
71,20210520101540-533022344.112396,20210520101403-489830434.322357
72,20210520101827-217799842.357635,20210520101602-216733515.262604
73,20210520102000-326143980.026245,20210520101856-395844280.719757
74,20210520131915-695115506.649017,20210520131528-814490020.275116
75,20210520132130-207561135.292053,20210520132003-243931353.092194
76,20210520132345-677947700.023651,20210520132228-583359003.067017
77,20210520133443-95429062.8433228,20210520133307-18758356.5711975
78,20210520133743-542941153.049469,20210520133527-169873476.028442
79,20210520134747-339806079.864502,20210520133916-634371936.321259
80,20210520135043-875974655.151367,20210520134912-412967801.094055
81,20210520135221-561009287.834167,20210520135111-190633416.175842
82,20210520143055-497070968.151093,20210520142947-395844280.719757
83,20210520143318-797297298.908234,20210520143204-223737537.86087
84,20210520150553-931559443.473816,20210520145311-16297698.0209351
85,20210520150800-312288105.487823,20210520150638-330300807.952881
86,20210520151004-209698975.086212,20210520150838-151756227.016449
87,20210520151206-183076024.055481,20210520151037-895446240.901947
88,20210520151609-647821187.973022,20210520151415-14017641.544342
89,20210520152716-100052237.510681,20210520152605-279342055.32074
90,20210520152902-905729830.265045,20210520152744-798884391.784668
91,20210520154209-269731581.21109,20210520153424-785212218.761444
92,20210520154741-928785979.747772,20210520154615-459640800.952911
93,20210520155031-480474710.464478,20210520154857-401842057.704926
94,20210520155448-922954559.326172,20210520155324-340606570.243835
95,20210520155718-680819392.204285,20210520155604-406421303.749084
96,20210520155927-463584005.832672,20210520155809-370515346.5271
97,20210520160115-985373914.241791,20210520155956-115470111.370087
98,20210520160551-494376718.997955,20210520160446-696100771.427155
99,20210520161121-401604592.80014,20210520161007-50262808.7997437
100,20210520161609-446993231.773376,20210520161508-167762815.952301
101,20210520161815-437663912.773132,20210520161641-878384590.148926
102,20210520162057-111432909.965515,20210520161904-410631656.646729
103,20210520162248-4019677.63900757,20210520162123-900333881.378174
104,20210521085625-279342055.32074,20210521085429-373536169.528961
105,20210521085802-300970494.747162,20210521085652-824602127.075195
106,20210521090208-378902554.512024,20210521090037-979829370.975494
107,20210521090516-55593490.6005859,20210521090304-919377088.546753
108,20210521091056-128249883.651733,20210521090815-979077935.218811
109,20210521092617-329735934.734344,20210521092321-657054960.727692
110,20210521093312-206017196.178436,20210521092859-589792549.610138
111,20210521093550-922954559.326172,20210521093344-588628590.106964
112,20210521093754-886600077.152252,20210521093636-406421303.749084
113,20210521094441-956762433.052063,20210521094328-302497565.746307
114,20210521094651-903098821.640015,20210521094522-61522245.4071045
115,20210521100229-557501018.047333,20210521095633-542029261.58905
116,20210521100436-674826085.567474,20210521100318-657256424.427032
117,20210521100639-372814297.676086,20210521100526-875779688.358307
118,20210521100938-346957147.121429,20210521100749-770832777.023315
119,20210521101313-902569651.603699,20210521101016-742342054.843903
120,20210521101458-492006242.275238,20210521101340-245173931.121826
121,20210521101811-188131809.234619,20210521101530-834893286.22818
122,20210521102144-344180822.372437,20210521102027-872118115.42511
123,20210521102339-295580744.743347,20210521102218-425485014.915466
124,20210521102518-281381428.24173,20210521102404-309617519.378662
125,20210521102730-89153528.213501,20210521102556-14221131.8016052
126,20210521102850-162942051.887512,20210521102747-283559679.985046
127,20210521104208-54648637.7716064,20210521104016-791464030.742645
128,20210521104447-819883286.952972,20210521104247-314812541.007996
129,20210521104635-356066644.191742,20210521104522-184224188.327789
130,20210521104928-38191974.1630554,20210521104810-355577528.476715
131,20210521105137-72723507.8811646,20210521105021-899490654.468536
132,20210521105345-350506365.299225,20210521105206-452828168.869019
133,20210521105634-868004083.633423,20210521105437-518669784.069061
134,20210521110836-602811813.354492,20210521110555-410402178.764343
135,20210521111144-396198332.309723,20210521110922-44667840.0039673
136,20210521111407-29402673.2444763,20210521111219-432827174.663544
137,20210521111537-493692994.117737,20210521111432-314039289.951324
138,20210521111736-273045599.460602,20210521111559-133155107.498169
139,20210521112258-517351627.349854,20210521111805-506093204.021454
140,20210521112447-299495756.626129,20210521112329-983533978.462219
141,20210521112640-51255941.3909912,20210521112519-953128993.5112
142,20210521112840-918389856.815338,20210521112710-957129836.082458
143,20210521113040-500069081.783295,20210521112918-959699332.714081
144,20210521125740-467859745.025635,20210521125624-895535290.241241
145,20210521133126-228140652.179718,20210521125814-866232037.54425
146,20210521133315-833509802.818298,20210521133151-52632272.2434998
147,20210521133522-239882767.20047,20210521133339-974221229.553223
148,20210521133745-251241385.936737,20210521133552-780381619.930267
149,20210521134022-688366889.953613,20210521133835-44474422.9316711
150,20210528093215-378902554.512024,20210528093051-300970494.747162
151,20210528093531-502453923.225403,20210528093437-919377088.546753
152,20210528093708-783995270.729065,20210528093557-462980031.967163
153,20210528093826-81893563.2705688,20210528093736-753688097.000122
154,20210528094153-169873476.028442,20210528094049-678913354.873657
155,20210528094352-480474710.464478,20210528094230-97929835.319519
156,20210528094636-130420446.395874,20210528094530-340606570.243835
157,20210528094921-613934934.139252,20210528094754-422918260.097504
158,20210528095321-746006906.032562,20210528095013-161743700.504303
159,20210528095712-494376718.997955,20210528095445-634571135.044098
160,20210528101414-50262808.7997437,20210528101153-217799842.357635
161,20210528102519-497969210.147858,20210528101631-757029533.38623
162,20210528102726-404864609.241486,20210528102606-896616637.706757
163,20210528102856-438826382.160187,20210528102753-741780698.299408
164,20210528103149-619831502.437592,20210528102926-245678842.067719
165,20210528103330-581502735.614777,20210528103221-205047190.189362
166,20210528104917-547599971.294403,20210528103512-203582286.834717
167,20210528105501-456470370.292664,20210528105428-950330734.25293
168,20210528105703-406934142.112732,20210528105538-283014774.32251
169,20210528110938-622696697.711945,20210528110821-774740099.906921
170,20210528111220-284480273.723602,20210528111042-263792932.033539
171,20210528112328-430261135.101318,20210528112206-162821590.900421
172,20210528114715-156302213.668823,20210528113530-502453923.225403
173,20210528120143-357023119.926453,20210528115427-654499411.582947
174,20210528120450-790128886.699677,20210528120235-704395771.026611
175,20210528121230-339806079.864502,20210528121003-347726404.666901
176,20210602091951-279342055.32074,20210602091854-949556648.731232
177,20210602092424-401374340.057373,20210602092048-824602127.075195
178,20210602141549-834817171.096802,20210602141308-712730467.319489
179,20210602143134-278279960.155487,20210602142641-468700110.912323
180,20210602144109-916163980.960846,20210602143258-646587133.407593
181,20210602150543-829801619.052887,20210602150359-814490020.275116
182,20210602151255-160441517.829895,20210602151033-589163005.35202
183,20210602152554-631742417.812347,20210602151502-410073220.729828
184,20210602152752-390291452.407837,20210602152632-428456366.062164
185,20210602154248-536794066.429138,20210602153616-489894747.73407
186,20210602154439-927616536.617279,20210602154320-544013977.050781
187,20210602155501-80691337.5854492,20210602154550-30950605.8692932
188,20210602161515-422918260.097504,20210602161324-149245738.983154
189,20210602162038-298165440.559387,20210602161636-814663946.628571
190,20210604091622-999414563.179016,20210604091401-790480017.662048
191,20210604091952-261368274.688721,20210604091721-15703916.5496826
192,20210604092435-364995419.979095,20210604092153-919377088.546753
193,20210604092836-331694424.152374,20210604092524-474459171.295166
194,20210604093143-272946834.564209,20210604093026-241219.997406006
195,20210604094308-960422813.892365,20210604093341-750687718.391418
196,20210604094457-495211303.2341,20210604094346-923445165.157318
197,20210604094711-684062302.112579,20210604094549-695281803.607941
198,20210604095044-634571135.044098,20210604094837-613934934.139252
199,20210618150006-382010698.318481,20210618145741-298165440.559387
200,20210618150322-561040103.435516,20210618150109-160441517.829895
201,20210618150602-107375323.77243,20210618150419-916163980.960846
202,20210618151124-468700110.912323,20210618150657-18758356.5711975
203,20210618151321-45649170.8755493,20210618151206-829801619.052887
204,20210618151853-378902554.512024,20210618151710-401374340.057373
205,20210618152212-468700110.912323,20210618151922-97973823.5473633
206,20210618152425-278279960.155487,20210618152236-829801619.052887
207,20210618152624-22629201.4122009,20210618152502-712730467.319489
208,20210618153002-56236863.1362915,20210618152647-513737499.713898
209,20210618153216-284480273.723602,20210618153043-592458248.138428
210,20210618153513-543360590.934753,20210618153304-979829370.975494
211,20210628110645-622696697.711945,20210628110217-774740099.906921
