,Detection_ID,Observation_ID,Distance,Detection
29,20210506141010-390291452.407837,20210506140902-269731581.21109,40.0,1
30,20210506141012-364995419.979095,20210506140902-269731581.21109,22.0,1
31,20210506141027-474459171.295166,20210506141020-489894747.73407,43.0,1
32,20210506141056-542070209.980011,20210506141043-257267653.942108,51.0,1
33,20210506141129-654499411.582947,20210506141120-156302213.668823,75.0,1
34,20210506141131-506087362.766266,20210506141120-156302213.668823,37.0,1
35,20210506141132-390471458.435059,20210506141120-156302213.668823,36.0,1
36,20210506141942-657054960.727692,20210506141851-128249883.651733,33.0,1
37,20210506141944-544013977.050781,20210506141851-128249883.651733,34.0,1
38,20210506141945-827411830.425262,20210506141851-128249883.651733,66.0,1
39,20210506141947-81893563.2705688,20210506141851-128249883.651733,37.0,1
40,20210506141949-191922485.8284,20210506141851-128249883.651733,25.0,1
41,20210506142001-357023119.926453,20210506141954-678913354.873657,36.0,1
42,20210506142003-149981081.485748,20210506141954-678913354.873657,22.0,1
43,20210506142005-704395771.026611,20210506141954-678913354.873657,20.0,1
44,20210506142007-928785979.747772,20210506141954-678913354.873657,72.0,1
45,20210506142009-530212521.55304,20210506141954-678913354.873657,17.0,1
46,20210506142025-401842057.704926,20210506142016-89641392.2309875,43.0,1
47,20210506142028-461874365.80658,20210506142016-89641392.2309875,56.0,1
48,20210506142030-492165625.095367,20210506142016-89641392.2309875,57.0,1
49,20210506142032-207627296.447754,20210506142016-89641392.2309875,26.0,1
50,20210506142034-329735934.734344,20210506142016-89641392.2309875,46.0,1
51,20210506142048-169873476.028442,20210506142038-95429062.8433228,52.0,1
52,20210506142052-927616536.617279,20210506142038-95429062.8433228,35.0,1
53,20210506142054-97929835.319519,20210506142038-95429062.8433228,42.0,1
54,20210506142154-750687718.391418,20210506142103-443862497.806549,60.0,1
55,20210506142155-272942364.215851,20210506142103-443862497.806549,32.0,1
56,20210506142157-673646688.461304,20210506142103-443862497.806549,45.0,1
57,20210506142213-30950605.8692932,20210506142206-256628930.568695,8.0,4
58,20210506142215-322717666.625977,20210506142206-256628930.568695,7.0,4
59,20210506142232-235282242.298126,20210506142219-790128886.699677,68.0,1
60,20210507082828-524868428.707123,20210507082809-56236863.1362915,16.0,1
61,20210507082830-767111659.049988,20210507082809-56236863.1362915,37.0,1
62,20210507082832-53504526.6151428,20210507082809-56236863.1362915,25.0,1
63,20210507082834-592458248.138428,20210507082809-56236863.1362915,30.0,1
64,20210507082836-468700110.912323,20210507082809-56236863.1362915,21.0,1
65,20210507082904-647821187.973022,20210507082848-298165440.559387,22.0,1
66,20210507082922-829801619.052887,20210507082911-263792932.033539,41.0,1
67,20210507082925-824602127.075195,20210507082911-263792932.033539,48.0,1
68,20210507082926-589163005.35202,20210507082911-263792932.033539,33.0,1
69,20210507082928-986093163.490295,20210507082911-263792932.033539,40.0,1
70,20210507083128-695115506.649017,20210507083117-910964310.16922,37.0,1
71,20210507083134-980003237.724304,20210507083117-910964310.16922,58.0,1
72,20210507083136-243931353.092194,20210507083117-910964310.16922,22.0,1
73,20210507083140-533873081.207275,20210507083117-910964310.16922,23.0,1
74,20210507083141-106369674.20578,20210507083117-910964310.16922,20.0,1
75,20210507083145-999414563.179016,20210507083117-910964310.16922,19.0,1
76,20210507083305-575183808.803558,20210507083257-676175892.353058,42.0,1
77,20210507083308-100052237.510681,20210507083257-676175892.353058,52.0,1
78,20210507083310-103022634.983063,20210507083257-676175892.353058,37.0,1
79,20210507083331-45649170.8755493,20210507083323-798884391.784668,51.0,1
80,20210507083333-295772850.513458,20210507083323-798884391.784668,57.0,1
81,20210507084912-207561135.292053,20210507084829-712730467.319489,13.0,4
82,20210507084915-186013519.763947,20210507084829-712730467.319489,5.0,4
83,20210507084917-583359003.067017,20210507084829-712730467.319489,27.0,1
84,20210507084920-80714643.0015564,20210507084829-712730467.319489,7.0,4
85,20210507084922-457971453.666687,20210507084829-712730467.319489,6.0,1
86,20210507084927-905729830.265045,20210507084829-712730467.319489,31.0,1
87,20210507084930-261368274.688721,20210507084829-712730467.319489,5.0,4
88,20210507084933-785212218.761444,20210507084829-712730467.319489,11.0,4
89,20210507084935-378902554.512024,20210507084829-712730467.319489,25.0,1
90,20210507084937-289665043.354034,20210507084829-712730467.319489,19.0,1
91,20210507084940-919377088.546753,20210507084829-712730467.319489,8.0,4
92,20210507085009-428456366.062164,20210507085003-631742417.812347,23.0,1
93,20210507085020-97973823.5473633,20210507085003-631742417.812347,26.0,1
94,20210507085022-561040103.435516,20210507085003-631742417.812347,27.0,1
95,20210507085024-694485306.739807,20210507085003-631742417.812347,8.0,4
96,20210507085026-913717567.920685,20210507085003-631742417.812347,19.0,1
97,20210507085250-543360590.934753,20210507085240-834817171.096802,22.0,1
98,20210507085252-916163980.960846,20210507085240-834817171.096802,34.0,1
99,20210507085253-430261135.101318,20210507085240-834817171.096802,21.0,1
100,20210507085308-513737499.713898,20210507085302-677947700.023651,50.0,1
101,20210507085332-462980031.967163,20210507085302-677947700.023651,27.0,1
102,20210507085334-353472650.051117,20210507085302-677947700.023651,22.0,4
103,20210507085354-404834151.268005,20210507085302-677947700.023651,23.0,4
104,20210507085413-243845164.775848,20210507085404-269731581.21109,37.0,1
105,20210507085442-979077935.218811,20210507085404-269731581.21109,38.0,1
106,20210507090649-506087362.766266,20210507090146-156302213.668823,37.0,1
107,20210507090652-390471458.435059,20210507090146-156302213.668823,50.0,1
108,20210507090654-107375323.77243,20210507090146-156302213.668823,53.0,1
109,20210507090721-753688097.000122,20210507090703-783995270.729065,24.0,1
110,20210507090725-596094548.70224,20210507090703-783995270.729065,27.0,1
111,20210507090727-832730174.064636,20210507090703-783995270.729065,23.0,1
112,20210507090728-18758356.5711975,20210507090703-783995270.729065,22.0,1
113,20210507090730-210368633.270264,20210507090703-783995270.729065,43.0,1
114,20210507090734-73953330.5168152,20210507090703-783995270.729065,18.0,1
115,20210507090736-105452656.745911,20210507090703-783995270.729065,19.0,1
116,20210507090738-331694424.152374,20210507090703-783995270.729065,31.0,4
117,20210507090741-128249883.651733,20210507090703-783995270.729065,32.0,4
118,20210507090858-657054960.727692,20210507090846-241219.997406006,39.0,1
119,20210507091049-81893563.2705688,20210507091041-544013977.050781,69.0,1
120,20210507091107-191922485.8284,20210507091041-544013977.050781,41.0,1
121,20210507091112-678913354.873657,20210507091041-544013977.050781,42.0,1
122,20210507091115-454207837.581635,20210507091041-544013977.050781,39.0,1
123,20210507091117-357023119.926453,20210507091041-544013977.050781,38.0,1
124,20210507091133-928785979.747772,20210507091127-149981081.485748,59.0,1
125,20210507091150-530212521.55304,20210507091127-149981081.485748,51.0,1
126,20210507091525-401842057.704926,20210507091202-89641392.2309875,47.0,1
127,20210507091532-461874365.80658,20210507091202-89641392.2309875,52.0,1
128,20210507091607-329735934.734344,20210507091041-544013977.050781,45.0,1
129,20210507142407-790480017.662048,20210507142320-45352756.9770813,7.0,1
130,20210507142409-373536169.528961,20210507142320-45352756.9770813,5.0,4
131,20210507142411-961953163.146973,20210507142320-45352756.9770813,6.0,4
132,20210507142413-871445834.636688,20210507142320-45352756.9770813,5.0,4
133,20210507142416-56236863.1362915,20210507142320-45352756.9770813,36.0,1
134,20210507142421-949556648.731232,20210507142320-45352756.9770813,41.0,1
135,20210507142424-364018678.665161,20210507142320-45352756.9770813,40.0,1
136,20210507142426-524868428.707123,20210507142320-45352756.9770813,50.0,1
137,20210507142428-767111659.049988,20210507142320-45352756.9770813,12.0,1
138,20210507142534-468700110.912323,20210507142526-53504526.6151428,35.0,1
139,20210507142537-298165440.559387,20210507142526-53504526.6151428,17.0,1
140,20210507142559-263792932.033539,20210507142550-622696697.711945,27.0,1
141,20210507142604-279342055.32074,20210507142550-622696697.711945,26.0,1
142,20210507142606-829801619.052887,20210507142550-622696697.711945,22.0,1
143,20210507142607-824602127.075195,20210507142550-622696697.711945,49.0,1
144,20210507142609-589163005.35202,20210507142550-622696697.711945,51.0,1
145,20210507142631-226866006.851196,20210507142622-986093163.490295,35.0,1
146,20210507142638-695115506.649017,20210507142622-986093163.490295,42.0,1
147,20210507142641-980003237.724304,20210507142622-986093163.490295,29.0,1
148,20210507142708-106369674.20578,20210507142655-243931353.092194,31.0,1
149,20210507143910-45649170.8755493,20210507143903-798884391.784668,68.0,1
150,20210507144319-712730467.319489,20210507144228-646587133.407593,11.0,4
151,20210507144324-326206207.275391,20210507144228-646587133.407593,12.0,1
152,20210507144326-633178889.751434,20210507144228-646587133.407593,27.0,1
153,20210507144327-207561135.292053,20210507144228-646587133.407593,25.0,1
154,20210507144329-186013519.763947,20210507144228-646587133.407593,56.0,1
155,20210507144343-583359003.067017,20210507144228-646587133.407593,52.0,1
156,20210507144348-80714643.0015564,20210507144228-646587133.407593,86.0,1
157,20210507144350-457971453.666687,20210507144228-646587133.407593,89.0,1
158,20210507144415-785212218.761444,20210507144402-905729830.265045,47.0,1
159,20210507144418-378902554.512024,20210507144402-905729830.265045,52.0,1
160,20210507144447-631742417.812347,20210507144426-289665043.354034,40.0,1
161,20210507144449-627642035.484314,20210507144426-289665043.354034,61.0,1
162,20210507144515-561040103.435516,20210507144506-428456366.062164,27.0,1
163,20210507144517-694485306.739807,20210507144506-428456366.062164,25.0,1
164,20210507144548-22629201.4122009,20210507144527-913717567.920685,48.0,1
165,20210507144550-543360590.934753,20210507144527-913717567.920685,40.0,1
166,20210507144552-916163980.960846,20210507144527-913717567.920685,38.0,1
167,20210507144554-430261135.101318,20210507144527-913717567.920685,66.0,1
168,20210507144613-513737499.713898,20210507144607-677947700.023651,19.0,1
169,20210507144615-462980031.967163,20210507144607-677947700.023651,22.0,1
170,20210507144616-353472650.051117,20210507144607-677947700.023651,25.0,1
171,20210507144619-404834151.268005,20210507144607-677947700.023651,23.0,1
172,20210507144621-269731581.21109,20210507144607-677947700.023651,3.0,4
173,20210507144643-55593490.6005859,20210507144607-677947700.023651,43.0,1
174,20210507145019-938545167.446136,20210507144810-628751873.970032,26.0,1
175,20210507145024-654499411.582947,20210507144810-628751873.970032,32.0,1
176,20210507145026-506087362.766266,20210507144810-628751873.970032,18.0,1
177,20210507145027-390471458.435059,20210507144810-628751873.970032,19.0,1
178,20210507145042-459640800.952911,20210507145034-107375323.77243,30.0,1
179,20210507145044-753688097.000122,20210507145034-107375323.77243,31.0,1
180,20210507145046-596094548.70224,20210507145034-107375323.77243,19.0,1
181,20210507145047-832730174.064636,20210507145034-107375323.77243,11.0,1
182,20210507145048-18758356.5711975,20210507145034-107375323.77243,14.0,1
183,20210507145055-210368633.270264,20210507145034-107375323.77243,17.0,1
184,20210507145108-73953330.5168152,20210507145034-107375323.77243,15.0,1
185,20210507145110-105452656.745911,20210507145034-107375323.77243,19.0,1
186,20210507145112-331694424.152374,20210507145034-107375323.77243,26.0,1
187,20210507145114-128249883.651733,20210507145034-107375323.77243,27.0,1
188,20210507145118-241219.997406006,20210507145034-107375323.77243,15.0,1
189,20210507145145-544013977.050781,20210507145134-536794066.429138,34.0,1
190,20210507145147-827411830.425262,20210507145134-536794066.429138,37.0,1
191,20210507145206-678913354.873657,20210507145156-81893563.2705688,43.0,1
192,20210507145806-461874365.80658,20210507145744-757729291.915894,13.0,2
193,20210507145808-492165625.095367,20210507145744-757729291.915894,13.0,2
194,20210507145821-95429062.8433228,20210507145814-207627296.447754,30.0,1
195,20210507145825-589792549.610138,20210507145814-207627296.447754,26.0,1
196,20210507145827-169873476.028442,20210507145814-207627296.447754,47.0,1
197,20210507145828-927616536.617279,20210507145814-207627296.447754,41.0,1
198,20210507145831-97929835.319519,20210507145814-207627296.447754,43.0,1
199,20210507145834-443862497.806549,20210507145814-207627296.447754,47.0,1
200,20210507145836-272946834.564209,20210507145814-207627296.447754,36.0,1
201,20210507150126-480474710.464478,20210507150027-790128886.699677,23.0,1
202,20210507150127-254601895.809174,20210507150027-790128886.699677,14.0,4
203,20210507150129-340606570.243835,20210507150027-790128886.699677,33.0,1
204,20210507150131-44933855.5335999,20210507150027-790128886.699677,34.0,1
205,20210507150153-864534497.261047,20210507150146-482428073.883057,23.0,1
206,20210507150154-588628590.106964,20210507150146-482428073.883057,31.0,1
207,20210507150156-754908323.287964,20210507150146-482428073.883057,26.0,1
208,20210507150207-542941153.049469,20210507150201-927883088.588715,43.0,1
209,20210507150648-993731319.904327,20210507150300-149245738.983154,21.0,1
210,20210507150651-130420446.395874,20210507150300-149245738.983154,26.0,1
211,20210507151205-28885781.7649841,20210507150300-149245738.983154,24.0,1
212,20210507151258-922954559.326172,20210507151252-345391631.126404,23.0,1
213,20210507151300-538246333.599091,20210507151252-345391631.126404,16.0,1
214,20210507151301-406421303.749084,20210507151252-345391631.126404,22.0,1
215,20210507151303-847245514.392853,20210507151252-345391631.126404,20.0,1
216,20210507151304-826225519.180298,20210507151252-345391631.126404,23.0,1
217,20210507151314-996771395.206451,20210507151309-672427594.661713,27.0,1
218,20210507151315-339806079.864502,20210507151309-672427594.661713,34.0,1
219,20210507151324-695281803.607941,20210507151319-495211303.2341,48.0,1
220,20210507151834-370515346.5271,20210507151506-489830434.322357,10.0,1
221,20210507151836-302497565.746307,20210507151506-489830434.322357,13.0,1
222,20210507151837-292866826.057434,20210507151506-489830434.322357,17.0,1
223,20210507151840-150311291.217804,20210507151506-489830434.322357,42.0,1
224,20210507151842-529821157.455444,20210507151506-489830434.322357,13.0,1
225,20210507151858-363458693.027496,20210507151851-223261773.586273,14.0,1
226,20210507151859-875974655.151367,20210507151851-223261773.586273,16.0,1
227,20210507151901-478014171.123505,20210507151851-223261773.586273,34.0,1
228,20210507152000-747415781.021118,20210507151954-190633416.175842,22.0,1
229,20210507152011-161743700.504303,20210507152004-613934934.139252,32.0,1
230,20210507152013-807779788.970947,20210507152004-613934934.139252,36.0,1
231,20210507152015-202618300.914764,20210507152004-613934934.139252,13.0,1
232,20210507152017-956762433.052063,20210507152004-613934934.139252,37.0,1
233,20210507152350-746354758.739471,20210507152307-561009287.834167,27.0,1
234,20210507152353-752310872.077942,20210507152307-561009287.834167,28.0,1
235,20210507152355-398932278.156281,20210507152307-561009287.834167,19.0,1
236,20210507152357-903098821.640015,20210507152307-561009287.834167,17.0,1
237,20210507152359-746006906.032562,20210507152307-561009287.834167,20.0,4
238,20210507152402-88559508.3236694,20210507152307-561009287.834167,20.0,4
239,20210507152406-634571135.044098,20210507152307-561009287.834167,22.0,1
240,20210507152408-713027954.101563,20210507152307-561009287.834167,33.0,1
241,20210507152409-15682399.2729187,20210507152307-561009287.834167,34.0,1
242,20210507152445-275295495.986938,20210507152441-431144356.7276,23.0,1
243,20210507152458-985373914.241791,20210507152441-431144356.7276,10.0,1
244,20210507152520-417599201.202393,20210507152511-802587389.945984,46.0,1
245,20210507152522-734488189.220428,20210507152511-802587389.945984,50.0,1
246,20210507152524-277168393.135071,20210507152511-802587389.945984,18.0,4
247,20210507152535-356586277.484894,20210507152511-802587389.945984,17.0,4
248,20210507152538-433457136.154175,20210507152511-802587389.945984,39.0,1
249,20210507153143-378991246.22345,20210507153055-494376718.997955,51.0,1
250,20210507153145-395844280.719757,20210507153055-494376718.997955,53.0,1
251,20210507153147-281503438.949585,20210507153055-494376718.997955,27.0,1
252,20210507153149-503371179.103851,20210507153055-494376718.997955,24.0,1
253,20210507153151-138732314.109802,20210507153055-494376718.997955,12.0,1
254,20210507153155-517255842.685699,20210507153055-494376718.997955,18.0,1
255,20210507153202-909204125.404358,20210507153159-965364456.176758,9.0,1
256,20210507153203-657256424.427032,20210507153159-965364456.176758,5.0,1
257,20210507153231-441114664.077759,20210507153159-965364456.176758,8.0,1
258,20210507153235-692994534.96933,20210507153159-965364456.176758,4.0,4
259,20210507153248-700514316.558838,20210507153242-64491152.7633667,11.0,1
260,20210507153249-497070968.151093,20210507153242-64491152.7633667,13.0,1
261,20210507153251-155435681.343079,20210507153242-64491152.7633667,10.0,1
262,20210507153502-416648387.908936,20210507153429-674826085.567474,17.0,1
263,20210507153505-123082816.6008,20210507153429-674826085.567474,18.0,1
264,20210507153507-954157948.493958,20210507153429-674826085.567474,22.0,1
265,20210507153509-797297298.908234,20210507153429-674826085.567474,27.0,1
266,20210507153511-696285009.384155,20210507153429-674826085.567474,22.0,1
267,20210507153526-167762815.952301,20210507153519-401604592.80014,26.0,1
268,20210507153528-164234161.376953,20210507153519-401604592.80014,29.0,1
269,20210507153529-509720027.446747,20210507153519-401604592.80014,32.0,1
270,20210507153543-276123285.293579,20210507153534-406062722.206116,37.0,1
271,20210507153545-643046796.321869,20210507153534-406062722.206116,42.0,1
272,20210507153558-187775135.040283,20210507153553-849099993.70575,27.0,1
273,20210507153827-585937917.232513,20210507153748-374432206.15387,41.0,1
274,20210507153842-330300807.952881,20210507153837-931559443.473816,32.0,4
275,20210507153854-868453681.468964,20210507153837-931559443.473816,6.0,4
276,20210507153856-259060978.889465,20210507153837-931559443.473816,12.0,4
277,20210507153858-259541332.72171,20210507153837-931559443.473816,57.0,1
278,20210507153921-2505660.05706787,20210507153916-178693532.943726,9.0,4
279,20210507153923-742342054.843903,20210507153916-178693532.943726,41.0,1
280,20210507153937-702970147.132874,20210507153930-840887069.702148,29.0,1
281,20210507153939-404864609.241486,20210507153930-840887069.702148,32.0,1
282,20210507153941-811571359.634399,20210507153930-840887069.702148,6.0,4
283,20210507153943-741780698.299408,20210507153930-840887069.702148,26.0,1
284,20210507153958-410631656.646729,20210507153949-437663912.773132,38.0,1
285,20210507154000-339375197.887421,20210507153949-437663912.773132,42.0,1
286,20210510074645-709037899.971008,20210510074545-14017641.544342,49.0,1
287,20210510074647-45352756.9770813,20210510074545-14017641.544342,48.0,1
288,20210510074648-414032697.677612,20210510074545-14017641.544342,48.0,1
289,20210510074649-862619340.419769,20210510074545-14017641.544342,45.0,1
290,20210510074651-790480017.662048,20210510074545-14017641.544342,32.0,1
291,20210510074656-373536169.528961,20210510074545-14017641.544342,27.0,1
292,20210510074717-56236863.1362915,20210510074711-961953163.146973,21.0,1
293,20210510074729-949556648.731232,20210510074711-961953163.146973,27.0,1
294,20210510074815-767111659.049988,20210510074807-364018678.665161,62.0,1
295,20210510074828-468700110.912323,20210510074822-53504526.6151428,23.0,1
296,20210510074830-298165440.559387,20210510074822-53504526.6151428,24.0,1
297,20210510075124-980003237.724304,20210510075033-910964310.16922,27.0,1
298,20210510075126-243931353.092194,20210510075033-910964310.16922,39.0,1
299,20210510075128-533873081.207275,20210510075033-910964310.16922,56.0,1
300,20210510075130-106369674.20578,20210510075033-910964310.16922,66.0,1
301,20210510075131-999414563.179016,20210510075033-910964310.16922,70.0,1
302,20210510075137-676175892.353058,20210510075033-910964310.16922,28.0,4
303,20210510075145-15703916.5496826,20210510075033-910964310.16922,28.0,4
304,20210510075441-160441517.829895,20210510075357-979829370.975494,31.0,1
305,20210510075444-162821590.900421,20210510075357-979829370.975494,46.0,1
306,20210510075509-412766814.231873,20210510075502-646587133.407593,22.0,1
307,20210510075511-712730467.319489,20210510075502-646587133.407593,24.0,1
308,20210510075525-207561135.292053,20210510075519-326206207.275391,12.0,1
309,20210510075526-186013519.763947,20210510075519-326206207.275391,13.0,1
310,20210510075528-583359003.067017,20210510075519-326206207.275391,7.0,1
311,20210510075530-80714643.0015564,20210510075519-326206207.275391,24.0,1
312,20210510081104-353472650.051117,20210510081021-502453923.225403,52.0,4
313,20210510081108-404834151.268005,20210510081021-502453923.225403,47.0,4
314,20210510081112-269731581.21109,20210510081021-502453923.225403,49.0,1
315,20210510081135-979077935.218811,20210510081125-55593490.6005859,46.0,1
316,20210510081137-60916244.9836731,20210510081125-55593490.6005859,40.0,1
317,20210510081139-390291452.407837,20210510081125-55593490.6005859,47.0,1
318,20210510081140-364995419.979095,20210510081125-55593490.6005859,41.0,1
319,20210510081152-474459171.295166,20210510081145-489894747.73407,47.0,1
320,20210510081203-542070209.980011,20210510081156-257267653.942108,35.0,4
321,20210510081556-596094548.70224,20210510081402-390471458.435059,16.0,1
322,20210510081558-832730174.064636,20210510081402-390471458.435059,14.0,1
323,20210510081559-18758356.5711975,20210510081402-390471458.435059,15.0,1
324,20210510081600-210368633.270264,20210510081402-390471458.435059,16.0,1
325,20210510081604-73953330.5168152,20210510081402-390471458.435059,23.0,1
326,20210510081614-128249883.651733,20210510081609-105452656.745911,28.0,1
327,20210510081626-241219.997406006,20210510081609-105452656.745911,8.0,4
328,20210510081643-544013977.050781,20210510081635-536794066.429138,39.0,1
329,20210510081658-191922485.8284,20210510081650-827411830.425262,28.0,1
330,20210510081710-357023119.926453,20210510081703-678913354.873657,25.0,1
331,20210510081728-149981081.485748,20210510081703-678913354.873657,21.0,1
332,20210510081741-530212521.55304,20210510081734-704395771.026611,17.0,1
333,20210510082033-169873476.028442,20210510081913-329735934.734344,26.0,1
334,20210510082038-927616536.617279,20210510081913-329735934.734344,24.0,1
335,20210510082045-97929835.319519,20210510081913-329735934.734344,27.0,1
336,20210510082101-872546851.634979,20210510082055-443862497.806549,25.0,1
337,20210510082104-750687718.391418,20210510082055-443862497.806549,17.0,2
338,20210510082106-272942364.215851,20210510082055-443862497.806549,17.0,2
339,20210510082109-673646688.461304,20210510082055-443862497.806549,38.0,1
340,20210510082124-30950605.8692932,20210510082118-256628930.568695,14.0,4
341,20210510082140-297258019.447327,20210510082133-322717666.625977,20.0,1
342,20210510082142-235282242.298126,20210510082133-322717666.625977,18.0,1
343,20210510082613-927883088.588715,20210510082402-482428073.883057,22.0,4
344,20210510082615-331016898.155212,20210510082402-482428073.883057,26.0,1
345,20210510082626-634371936.321259,20210510082620-542941153.049469,11.0,1
346,20210510082627-410036683.082581,20210510082620-542941153.049469,19.0,1
347,20210510082629-960422813.892365,20210510082620-542941153.049469,30.0,4
348,20210510082632-114623308.181763,20210510082620-542941153.049469,45.0,1
349,20210510082633-923445165.157318,20210510082620-542941153.049469,43.0,1
350,20210510082645-620209574.699402,20210510082620-542941153.049469,9.0,4
351,20210510082659-479978263.378143,20210510082653-347726404.666901,33.0,1
352,20210510083024-672427594.661713,20210510082903-406421303.749084,77.0,1
353,20210510083027-721895098.686218,20210510082903-406421303.749084,74.0,1
354,20210510083030-996771395.206451,20210510082903-406421303.749084,81.0,1
355,20210510083034-339806079.864502,20210510082903-406421303.749084,60.0,1
356,20210510083036-495211303.2341,20210510082903-406421303.749084,8.0,4
357,20210510083052-412967801.094055,20210510082903-406421303.749084,9.0,4
358,20210510083053-695281803.607941,20210510082903-406421303.749084,12.0,1
359,20210510083106-543177008.628845,20210510083100-179089307.785034,21.0,1
360,20210510083109-814663946.628571,20210510083100-179089307.785034,37.0,1
361,20210510083111-540913581.848145,20210510083100-179089307.785034,23.0,1
362,20210510083113-427533328.533173,20210510083100-179089307.785034,17.0,1
363,20210510083114-509068131.446838,20210510083100-179089307.785034,15.0,1
364,20210510083134-489830434.322357,20210510083128-227781593.799591,38.0,1
365,20210510083138-680819392.204285,20210510083128-227781593.799591,59.0,1
366,20210510083140-886600077.152252,20210510083128-227781593.799591,83.0,1
367,20210510083154-292866826.057434,20210510083148-370515346.5271,44.0,1
368,20210510083205-223261773.586273,20210510083159-150311291.217804,23.0,4
369,20210510083207-584529280.662537,20210510083159-150311291.217804,24.0,4
370,20210510083712-807779788.970947,20210510083407-684062302.112579,39.0,1
371,20210510083717-202618300.914764,20210510083407-684062302.112579,46.0,1
372,20210510083719-956762433.052063,20210510083407-684062302.112579,49.0,1
373,20210510084052-793197572.231293,20210510084011-65851032.7339172,37.0,1
374,20210510084054-379604697.227478,20210510084011-65851032.7339172,59.0,1
375,20210510084056-463584005.832672,20210510084011-65851032.7339172,79.0,1
376,20210510084113-173773407.936096,20210510084107-119544029.23584,92.0,1
377,20210510084117-48118889.3318176,20210510084107-119544029.23584,100.0,1
378,20210510084131-561009287.834167,20210510084124-714816331.863403,31.0,1
379,20210510084137-216733515.262604,20210510084124-714816331.863403,30.0,1
380,20210510084141-468005657.196045,20210510084124-714816331.863403,37.0,1
381,20210510084144-746354758.739471,20210510084124-714816331.863403,52.0,1
382,20210510084146-752310872.077942,20210510084124-714816331.863403,66.0,1
383,20210510084202-398932278.156281,20210510084124-714816331.863403,52.0,4
384,20210510084206-903098821.640015,20210510084124-714816331.863403,46.0,1
385,20210510084223-634571135.044098,20210510084216-746006906.032562,50.0,1
386,20210510084235-431144356.7276,20210510084230-713027954.101563,12.0,1
387,20210510084237-401982605.457306,20210510084230-713027954.101563,57.0,1
388,20210510084252-802587389.945984,20210510084246-275295495.986938,69.0,1
389,20210510084253-696100771.427155,20210510084246-275295495.986938,53.0,1
390,20210510084256-417599201.202393,20210510084246-275295495.986938,68.0,1
391,20210510084801-121549963.951111,20210510084558-356586277.484894,37.0,1
392,20210510084803-645951330.661774,20210510084558-356586277.484894,39.0,1
393,20210510084805-347832679.748535,20210510084558-356586277.484894,77.0,1
394,20210510084806-104432284.832001,20210510084558-356586277.484894,30.0,1
395,20210510084808-185402512.550354,20210510084558-356586277.484894,46.0,1
396,20210510084812-77684700.4890442,20210510084558-356586277.484894,41.0,1
397,20210510084815-432759523.391724,20210510084558-356586277.484894,66.0,1
398,20210510084818-959270894.527435,20210510084558-356586277.484894,65.0,1
399,20210510084819-542029261.58905,20210510084558-356586277.484894,30.0,1
400,20210510084821-494376718.997955,20210510084558-356586277.484894,33.0,1
401,20210510084825-972966670.98999,20210510084558-356586277.484894,45.0,1
402,20210510084845-395844280.719757,20210510084838-217799842.357635,23.0,1
403,20210510084847-281503438.949585,20210510084838-217799842.357635,22.0,1
404,20210510084849-503371179.103851,20210510084838-217799842.357635,19.0,1
405,20210510084850-138732314.109802,20210510084838-217799842.357635,17.0,1
406,20210510084852-517255842.685699,20210510084838-217799842.357635,41.0,1
407,20210510084856-965364456.176758,20210510084838-217799842.357635,48.0,1
