,Station_ID,Transect_ID,Station,Lat_Final,Long_Final
67,20210428171318-900333881.378174,20210428161330-379604697.227478,1,21.186074,-156.967638
68,20210428171318-231596648.693085,20210428161330-379604697.227478,2,21.185707,-156.966382
69,20210428171318-949905514.717102,20210428161330-379604697.227478,3,21.185781,-156.964984
70,20210428171318-846187412.7388,20210428161330-379604697.227478,4,21.186426,-156.963801
71,20210428171318-441216230.392456,20210428161330-379604697.227478,5,21.187492,-156.963093
72,20210428171318-492006242.275238,20210428161330-379604697.227478,6,21.188024,-156.963817
73,20210428171318-769506812.095642,20210428161330-379604697.227478,8,21.187082,-156.965775
74,20210428171318-834893286.22818,20210428161330-379604697.227478,9,21.186644,-156.966918
75,20210428171318-382569313.049316,20210428161330-463584005.832672,1,21.169907,-156.915548
76,20210428171318-195534884.929657,20210428161330-463584005.832672,2,21.16918,-156.914461
77,20210428171318-326157212.257385,20210428161330-463584005.832672,3,21.167928,-156.914881
78,20210428171318-413233101.36795,20210428161330-463584005.832672,4,21.168228,-156.916106
79,20210625132208-705547511.577606,20210428161330-463584005.832672,4A,21.168843,-156.915443
80,20210428171318-152676820.755005,20210428161330-463584005.832672,5,21.16722,-156.916684
81,20210428171318-99409937.8585815,20210428161330-463584005.832672,5A,21.167366,-156.915801
82,20210428171318-619831502.437592,20210428161330-463584005.832672,6,21.169022,-156.917092
83,20210428171318-205047190.189362,20210428161330-463584005.832672,7,21.168215,-156.917994
84,20210428171318-634571135.044098,20210428161330-48118889.3318176,1,21.124749,-156.89711
85,20210428171318-347832679.748535,20210428161330-48118889.3318176,10,21.125646,-156.908281
86,20210428171318-802587389.945984,20210428161330-48118889.3318176,12,21.124215,-156.908651
87,20210428171318-696100771.427155,20210428161330-48118889.3318176,13,21.123798,-156.910021
88,20210428171318-417599201.202393,20210428161330-48118889.3318176,14,21.12443,-156.911478
89,20210428171318-734488189.220428,20210428161330-48118889.3318176,15,21.125648,-156.912125
90,20210428171318-277168393.135071,20210428161330-48118889.3318176,16,21.126392,-156.913087
91,20210428171318-356586277.484894,20210428161330-48118889.3318176,17,21.126112,-156.914605
92,20210428171318-433457136.154175,20210428161330-48118889.3318176,18,21.126552,-156.915838
93,20210428171318-944971024.990082,20210428161330-48118889.3318176,19,21.127075,-156.917245
94,20210428171318-713027954.101563,20210428161330-48118889.3318176,2,21.125388,-156.898338
95,20210428171318-15682399.2729187,20210428161330-48118889.3318176,3,21.125639,-156.899709
96,20210428171318-431144356.7276,20210428161330-48118889.3318176,4,21.125594,-156.901118
97,20210428171318-401982605.457306,20210428161330-48118889.3318176,5,21.125718,-156.902382
98,20210428171318-275295495.986938,20210428161330-48118889.3318176,6,21.126195,-156.903757
99,20210428171318-121549963.951111,20210428161330-48118889.3318176,7,21.125933,-156.905191
100,20210428171318-985373914.241791,20210428161330-48118889.3318176,9,21.125773,-156.906849
101,20210428171318-875779688.358307,20210428161330-533022344.112396,10,21.115608,-156.898451
102,20210428171318-954157948.493958,20210428161330-533022344.112396,11,21.116709,-156.897642
103,20210428171318-416648387.908936,20210428161330-533022344.112396,13,21.117819,-156.896855
104,20210428171318-123082816.6008,20210428161330-533022344.112396,14,21.118645,-156.895741
105,20210428171318-757029533.38623,20210428161330-533022344.112396,3,21.11192,-156.90691
106,20210428171318-800669848.918915,20210428161330-533022344.112396,4,21.11293,-156.906084
107,20210428171318-325205445.289612,20210428161330-533022344.112396,5,21.11294,-156.904654
108,20210428171318-972729027.271271,20210428161330-533022344.112396,6,21.113057,-156.903198
109,20210428171318-804267168.045044,20210428161330-533022344.112396,7,21.113347,-156.90179
110,20210428171318-674826085.567474,20210428161330-533022344.112396,8,21.113863,-156.900463
111,20210428171318-905129313.468933,20210428161330-533022344.112396,9,21.114425,-156.89915
112,20210428171318-696285009.384155,20210428161330-561009287.834167,1,21.104029,-156.902679
113,20210428171318-643046796.321869,20210428161330-561009287.834167,10,21.109637,-156.891748
114,20210428171318-849099993.70575,20210428161330-561009287.834167,11,21.110318,-156.890574
115,20210428171318-497969210.147858,20210428161330-561009287.834167,12,21.110898,-156.889331
116,20210428171318-187775135.040283,20210428161330-561009287.834167,13,21.111888,-156.888346
117,20210428171318-896616637.706757,20210428161330-561009287.834167,14,21.11297,-156.887478
118,20210428171318-372814297.676086,20210428161330-561009287.834167,15,21.113795,-156.886291
119,20210428171318-401604592.80014,20210428161330-561009287.834167,2,21.104445,-156.901309
120,20210428171318-16297698.0209351,20210428161330-561009287.834167,3,21.105537,-156.900462
121,20210428171318-167762815.952301,20210428161330-561009287.834167,4,21.106436,-156.899459
122,20210428171318-164234161.376953,20210428161330-561009287.834167,5,21.107153,-156.898227
123,20210428171318-509720027.446747,20210428161330-561009287.834167,6,21.108106,-156.897206
124,20210428171318-406062722.206116,20210428161330-561009287.834167,7,21.108296,-156.89578
125,20210428171318-106133759.021759,20210428161330-561009287.834167,8,21.108305,-156.894341
126,20210428171318-276123285.293579,20210428161330-561009287.834167,9,21.108931,-156.893051
127,20210428171318-585937917.232513,20210428161330-613934934.139252,1,21.103373,-156.860729
128,20210428171318-931559443.473816,20210428161330-613934934.139252,2,21.102042,-156.860462
129,20210428171318-517192423.343658,20210428161330-613934934.139252,3,21.100695,-156.860688
130,20210428171318-330300807.952881,20210428161330-613934934.139252,4,21.099434,-156.861231
131,20210428171318-868453681.468964,20210428161330-613934934.139252,5,21.098228,-156.861879
132,20210428171318-245173931.121826,20210428161330-61522245.4071045,1,21.174665,-156.997691
133,20210428171318-860162436.962128,20210428161330-61522245.4071045,2,21.175058,-156.997282
134,20210428171318-74950337.4099731,20210428161330-61522245.4071045,3,21.175672,-156.995752
135,20210428171318-438826382.160187,20210428161330-61522245.4071045,4,21.175878,-156.997126
136,20210428171318-759979009.628296,20210428161330-61522245.4071045,5,21.176624,-156.997569
137,20210428171318-245678842.067719,20210428161330-61522245.4071045,6,21.177548,-156.998615
138,20210428171318-378606200.218201,20210428161330-61522245.4071045,7,21.178406,-156.997853
139,20210428171318-692517757.415771,20210428161330-65851032.7339172,1,21.154313,-156.959532
140,20210428171318-504459083.080292,20210428161330-65851032.7339172,2,21.15529,-156.960424
141,20210428171318-183076024.055481,20210428161330-65851032.7339172,3,21.155874,-156.96161
142,20210428171318-872118115.42511,20210428161330-714816331.863403,1,21.120711,-156.896241
143,20210428171318-783374011.516571,20210428161330-714816331.863403,10,21.11777,-156.906758
144,20210428171318-791155457.496643,20210428161330-714816331.863403,11,21.118247,-156.908104
145,20210428171318-332691490.650177,20210428161330-714816331.863403,12,21.117921,-156.909456
146,20210428171318-450942277.908325,20210428161330-714816331.863403,13,21.117767,-156.91089
147,20210428171318-555113255.977631,20210428161330-714816331.863403,14,21.117369,-156.912265
148,20210428171318-581502735.614777,20210428161330-714816331.863403,2,21.119491,-156.896916
149,20210428171318-729410886.764526,20210428161330-714816331.863403,3,21.119382,-156.898342
150,20210428171318-145000398.159027,20210428161330-714816331.863403,4,21.11921,-156.899788
151,20210428171318-257789969.444275,20210428161330-714816331.863403,5,21.118713,-156.901162
152,20210428171318-28246939.1822815,20210428161330-714816331.863403,6,21.118432,-156.902578
153,20210428171318-827898979.187012,20210428161330-714816331.863403,7,21.118305,-156.904011
154,20210428171318-803330302.238464,20210428161330-714816331.863403,8,21.117816,-156.905337
155,20210428171318-185402512.550354,20210428161330-747415781.021118,1,21.127662,-156.897495
156,20210428171318-395844280.719757,20210428161330-782138705.253601,10,21.136651,-156.905011
157,20210428171318-281503438.949585,20210428161330-782138705.253601,11,21.137724,-156.905677
158,20210428171318-503371179.103851,20210428161330-782138705.253601,12,21.138938,-156.905979
159,20210428171318-138732314.109802,20210428161330-782138705.253601,13,21.139844,-156.90617
160,20210428171318-517255842.685699,20210428161330-782138705.253601,14,21.14055,-156.907058
161,20210428171318-965364456.176758,20210428161330-782138705.253601,15,21.141339,-156.908052
162,20210428171318-557501018.047333,20210428161330-782138705.253601,16,21.14208,-156.908817
163,20210428171318-909204125.404358,20210428161330-782138705.253601,17,21.142748,-156.909487
164,20210428171318-657256424.427032,20210428161330-782138705.253601,18,21.143733,-156.909601
165,20210428171318-441114664.077759,20210428161330-782138705.253601,19,21.144763,-156.910356
166,20210428171318-77684700.4890442,20210428161330-782138705.253601,2,21.128435,-156.898668
167,20210428171318-692994534.96933,20210428161330-782138705.253601,20,21.145906,-156.910741
168,20210428171318-64491152.7633667,20210428161330-782138705.253601,21,21.14719,-156.910897
169,20210428171318-756092607.975006,20210428161330-782138705.253601,22,21.148297,-156.911322
170,20210428171318-700514316.558838,20210428161330-782138705.253601,23,21.149529,-156.911608
171,20210428171318-497070968.151093,20210428161330-782138705.253601,24,21.150579,-156.911787
172,20210428171318-155435681.343079,20210428161330-782138705.253601,25,21.151633,-156.911566
173,20210428171318-223737537.86087,20210428161330-782138705.253601,26,21.152698,-156.911551
174,20210428171318-326143980.026245,20210428161330-782138705.253601,27,21.153768,-156.911904
175,20210428171318-784488618.373871,20210428161330-782138705.253601,28,21.155268,-156.912673
176,20210428171318-50262808.7997437,20210428161330-782138705.253601,29,21.156545,-156.912975
177,20210428171318-432759523.391724,20210428161330-782138705.253601,3,21.129148,-156.900045
178,20210428171318-518015921.115875,20210428161330-782138705.253601,30,21.157646,-156.912911
179,20210428171318-959270894.527435,20210428161330-782138705.253601,4,21.1301,-156.901079
180,20210428171318-542029261.58905,20210428161330-782138705.253601,5,21.130932,-156.901964
181,20210428171318-494376718.997955,20210428161330-782138705.253601,6,21.131995,-156.903202
182,20210428171318-972966670.98999,20210428161330-782138705.253601,7,21.132941,-156.903764
183,20210428171318-217799842.357635,20210428161330-782138705.253601,8,21.134189,-156.904569
184,20210428171318-378991246.22345,20210428161330-782138705.253601,9,21.135446,-156.904711
185,20210428171318-397243559.360504,20210428161330-793197572.231293,1,21.15286,-156.92398
186,20210428171318-652376711.368561,20210428161330-793197572.231293,10,21.161866,-156.930786
187,20210428171318-526573181.152344,20210428161330-793197572.231293,2,21.153834,-156.924621
188,20210428171318-270359218.120575,20210428161330-793197572.231293,3,21.154959,-156.92577
189,20210428171318-581176400.184631,20210428161330-793197572.231293,4,21.156344,-156.926752
190,20210428171318-209698975.086212,20210428161330-793197572.231293,5,21.157257,-156.927519
191,20210518143101-289562463.760376,20210428161330-793197572.231293,6,21.158335,-156.929125
192,20210428171318-78708887.1002197,20210428161330-793197572.231293,7,21.159159,-156.929466
193,20210428171318-895446240.901947,20210428161330-793197572.231293,8,21.159548,-156.930515
194,20210428171318-111432909.965515,20210428161330-793197572.231293,9,21.160838,-156.931393
195,20210428171318-2505660.05706787,20210428161330-807779788.970947,10,21.092144,-156.863316
196,20210428171318-259060978.889465,20210428161330-807779788.970947,6,21.097141,-156.862735
197,20210428171318-259541332.72171,20210428161330-807779788.970947,7,21.096048,-156.863605
198,20210428171318-178693532.943726,20210428161330-807779788.970947,8,21.094752,-156.864032
199,20210428171318-346957147.121429,20210428161330-807779788.970947,9,21.093434,-156.863702
200,20210428171318-805275440.216064,20210428161330-956762433.052063,1,21.107367,-156.87196
201,20210428171318-109738528.728485,20210428161330-956762433.052063,10,21.09736,-156.877684
202,20210428171318-290577530.860901,20210428161330-956762433.052063,11,21.096268,-156.878451
203,20210428171318-989428222.179413,20210428161330-956762433.052063,2,21.106234,-156.872352
204,20210428171318-258442044.258118,20210428161330-956762433.052063,3,21.105057,-156.872859
205,20210428171318-174484074.115753,20210428161330-956762433.052063,4,21.103928,-156.87353
206,20210428171318-694607496.261597,20210428161330-956762433.052063,5,21.102773,-156.874355
207,20210428171318-16988694.6678162,20210428161330-956762433.052063,6,21.101504,-156.874738
208,20210428171318-339090704.917908,20210428161330-956762433.052063,7,21.100227,-156.875122
209,20210428171318-692547857.761383,20210428161330-956762433.052063,8,21.099262,-156.875992
210,20210428171318-110386848.449707,20210428161330-956762433.052063,9,21.098279,-156.876786
